campaign_id,name,channel,send_time,recipients,open_rate,click_rate,conversions,conversion_value,rpr,unsub_rate
01J4AA9QEGBGZBSW01NKCC2WJR,Back to school #1 FR,email,"August 03, 2024, 12:00",20436,0.45006,0.02629,19,2214.94001,0.10903,0.00906
01HACV5EWBP0PCWR4C88ZNM55T,WARMUP #2 Fall pre-sale 2023,email,"September 15, 2023, 17:00",5571,0.43254,0.02471,19,2111.06003,0.38078,0.01172
01HJJZSM1XW9DNQXHCM309CWQY,Boxing week,email,"December 26, 2023, 13:00",23560,0.44685,0.0139,21,1719.62,0.07332,0.02345
01HXJWV9YVX101GD64T21K7NMC,(EN) Flower bombs,email,"May 11, 2024, 13:00",6495,0.40826,0.03055,31,1696.92001,0.26452,0.00624
01HQTR1VJVA3CTCRB193FWAEDW,Milkweed planting Campaign,email,"March 02, 2024, 15:00",5572,0.48133,0.06381,40,1154.24,0.20925,0.00906
01J0Z4Y5RK5Q2AT4C948KVTCD2,Summer,email,"June 22, 2024, 13:30",6443,0.59289,0.01535,10,1132.91001,0.17746,0.01206
01HAW6DJ353NNZ346YAWKPE93F,Follow-up #1 NON-BUYER Fall presale 2023,email,"September 23, 2023, 13:30",5484,0.42192,0.02859,12,1054.34001,0.19324,0.0055
01J0CGWW18EAE80P197HSVVSBT,Upgrade Sac à lunch,email,"June 15, 2024, 11:30",483,0.89834,0.53527,27,871.95,1.80902,0.00415
01J23ZAFSYP9MEZNC7NPBHPTHD,(EN) Juillet bombes et plus,email,"July 06, 2024, 13:00",6386,0.38846,0.02735,17,859.9,0.13595,0.00964
01HSMBN0ZQFY14MX4XWX4RHDPG,Oven mitts,email,"March 23, 2024, 08:30",6339,0.45511,0.04656,9,853.82001,0.13615,0.01754
01HM49N1QTXYPYZ5GYK794TWDB,(EN) cache-cous + foulards,email,"January 14, 2024, 15:42",6427,0.44121,0.04401,5,632.7,0.09945,0.02656
01J3QHJVCJSDNGJA99FM8YWXEY,Juillet bombes et plus #2,email,"July 27, 2024, 12:00",10934,0.11519,0.01291,6,506.75001,0.04674,0.00636
01HTRJAF3Z1SGX23Y886SX326G,cosmétiques annonce,email,"April 06, 2024, 12:00",23039,0.46597,0.05959,8,450.96001,0.01967,0.01021
01HNDKGQ6C1CHNETQDWARN6WDD,(EN) Vente février,email,"February 25, 2024, 15:00",6306,0.44343,0.02653,5,450.88999,0.07205,0.02605
01HYPVVCW56E49TT1Q1YPT2Y7B,Shoulder tote bag,email,"May 25, 2024, 13:00",6404,0.58661,0.24803,8,409.67001,0.06451,0.01339
01HG37GWAHC98ZX1ZNKTRNA7R0,(EN) BFCM cartes-cadeaux,email,"November 25, 2023, 13:30",5863,0.38671,0.01229,2,402.38,0.06965,0.01593
01HCT2TSXQC8RS6ZY6C5KZ50C9,(EN) Fall headbands etc.,email,"October 15, 2023, 17:05",5764,0.44088,0.03488,8,390.66999,0.06813,0.00907
01HZQ81669QEESHZV0APP64M6C,Rise cartes-cadeaux rappel,email,"June 06, 2024, 17:28",253,0.83333,0.42063,3,349.45,1.38671,0
01HFHA4JSY93ADBN4QVDN58TZ8,Sepaq MTL,email,"November 18, 2023, 14:08",4069,0.4995,0.0052,4,324.16001,0.08024,0.00842
01HFW6P21WPP17PZ9PSF7V8NSF,(FR) Suivi précommandes (24oct-21nov),email,"November 22, 2023, 19:09",686,0.85882,0,2,275.83,0.40563,0.00147
01HF1T8BYZD5RWN2N3H8593J7J,(FR) Suivi précommandes novembre 23,email,"November 12, 2023, 13:13",447,0.91704,0,1,252.89999,0.56704,0.00448
01H9AZKW94D0862Y49WVRHP5RK,Réchauffement #1 prévente automnale 2023,email,"September 02, 2023, 14:30",21137,0.48818,0.07511,3,250.06001,0.01185,0.00796
01J5E9HC3X9NHDTQ4CRHNYTX6A,Sac à vin + étuis - EN,email,"August 17, 2024, 13:00",6429,0.38067,0.03452,5,238.49,0.03742,0.01177
01HH5MDVZH7Q4XEPJVH9RFQ5QX,Campagne retard décembre 23,email,"December 09, 2023, 08:00",1514,0.88286,0,3,194.87,0.12897,0.00331
01HQTTSQDACXG3466MMEGQP24T,USA Milkweed planting Campaign,email,"March 02, 2024, 15:00",574,0.33099,0.0493,3,153.78,0.27074,0
01J3QJKBTSC7FTPCYYG3CT63F6,(EN) Juillet bombes et plus #2,email,"July 27, 2024, 13:30",3864,0.14087,0.01597,1,56.6,0.01482,0.00995
01H9B4NMJVFTTKCSZRJGQRESB9,WARMUP #1 Fall pre-sale 2023,email,"September 02, 2023, 15:30",5653,0.43886,0.03893,2,36.12,0.00642,0.01262
01HTRKRFXZ5PN59QRKYTV895Y1,cosmetics EN,email,"April 06, 2024, 13:00",6299,0.425,0.0399,1,23.73,0.0038,0.0125
01H8Q55XDQS65B2G8SJKPCM3WF,Suivi sac lunch + switch,email,"August 27, 2023, 08:00",196,0.81538,0,0,0,0,0
01HAW0HMPN3SP9J3HC5ZKBJ0YZ,Suivi #1 ACHETEUR prévente automnale 2023,email,"September 23, 2023, 08:00",191,0.93684,0.1,0,0,0,0
01HF1TZQ3G92EE2ER0VDH6KQXY,(EN) pre-order follow up,email,"November 12, 2023, 13:27",49,0.85417,0,0,0,0,0
01HH5PHDJKYMBRQN4S1NAHZ654,(EN) late delivery decembre 23 Campaign,email,"December 09, 2023, 09:00",77,0.82895,0,0,0,0,0
01HMKEB4DQNK1YEZA4K4A36VMK,cache-cous + foulards,email,"January 20, 2024, 12:59",1897,0.33565,0.01336,0,0,0,0.05826
01HQTWR9WP41K7NERGP0967CYQ,Villes amies monarques mairie,email,"February 29, 2024, 18:06",54,0.56604,0.30189,0,0,0,0
01HAW5E1XH04AKDY9BMFQVVYHD,(EN) follow-up #1 buyer Fall presale 2023,email,"September 23, 2023, 13:00",21,0.85714,0.04762,0,0,0,0
01HFW74YXF4MCGXR7EE4RD1997,(EN) pre-order follow up 25oct-21nov,email,"November 22, 2023, 19:17",21,0.7619,0,0,0,0,0
