# Charte des produits Lasclay — ce dont la pièce est faite.
#
# Relevé de « Charte_produits_Lasclay.pdf », le tableau que l'équipe tient
# pour la production tunisienne. Le PDF est un export basse résolution : une
# image de 328 px par carte, sans couche de texte. Le corps des fiches se lit,
# les vignettes d'étiquettes et les schémas de cotes non — ce qui manque est
# marqué « À RELIRE » plutôt que deviné.
#
# Ce fichier ne dit PAS quoi vérifier : ça, c'est qualite-charte.tsv, qui
# devient de vrais points de contrôle et remonte dans la liste obligatoire de
# chaque ordre. Ici on décrit la pièce, pour qui la fabrique.
#
# section :
#   matiere     de quoi c'est fait, face par face
#   isolant     l'asclépiade et son grammage — la ligne qui distingue deux
#               produits par ailleurs identiques
#   garniture   fermetures, sangles, élastiques, étiquettes
#   parametre   un réglage de machine : température, durée
#   note        tout le reste, y compris ce qui reste à confirmer
#
# LES UNITÉS SONT CELLES DE LA SOURCE, jamais converties dans le fichier. Les
# poids de toile sont en onces par verge carrée et les longueurs en pouces,
# parce que c'est ainsi que les fournisseurs nord-américains les écrivent — et
# qu'une donnée convertie à la saisie perd sa trace.
#
# La conversion se fait à L'AFFICHAGE, selon le réglage de chacun : l'atelier
# tunisien lit en métrique, Québec lit les fiches fournisseur en impérial.
# Voir `unites.js`.
#
# Importer : node mrp/import_charte.js --ecrire
produit	section	texte
MIT-PLEIN-AIR	garniture	Étiquette de taille
MIT-POLAR	matiere	Extérieur : polar
MIT-POLAR	matiere	Intérieur : polar
MIT-POLAR	isolant	Vegeto 150 g
MIT-POLAR	garniture	Élastique plat
MIT-POLAR	garniture	Lacet plat (pour attacher les mitaines ensemble)
MIT-POLAR	garniture	Étiquette pliée Lasclay
MIT-POLAR	garniture	Étiquette de taille
MIT-LAINE	matiere	Extérieur : laine
MIT-LAINE	matiere	Intérieur : laine
MIT-LAINE	isolant	Vegeto 150 g
MIT-LAINE	garniture	Étiquette pliée Lasclay
MIT-LAINE	note	Patron : mitaine polar
MIT-CUIR	matiere	Extérieur : cuir
MIT-CUIR	matiere	Intérieur : laine
MIT-CUIR	isolant	Vegeto 200 g
MIT-CUIR	garniture	Élastique plat
MIT-CUIR	garniture	Lacet plat (pour attacher les mitaines ensemble)
MIT-CUIR	garniture	Étiquette pliée Lasclay
MIT-CUIR	garniture	Étiquette de taille
MIT-CUIR	note	Patron : mitaine polar
MIT-BEBE	matiere	Extérieur : shell
MIT-BEBE	matiere	Intérieur : polar
MIT-BEBE	isolant	Vegeto 200 g
MIT-BEBE	garniture	Élastique rond
MIT-BEBE	garniture	Cord-lock + bille
MIT-BEBE	garniture	Lacet plat (pour attacher le cord-lock à la mitaine)
MIT-BEBE	garniture	Étiquettes pliées Lasclay
GANTS-MAGIQUES	isolant	Fibre recyclée, 4 à 5 g par gant
GANTS-MAGIQUES	garniture	Étiquette pliée Lasclay
TUQUE-SPORT	matiere	Extérieur : polyester brossé
TUQUE-SPORT	matiere	Intérieur : polyester brossé
TUQUE-SPORT	isolant	Vegeto 150 g
TUQUE-SPORT	garniture	Étiquette pliée Lasclay
TUQUE-SPORT	garniture	Étiquette de taille
TUQUE-VILLE	matiere	Acrylique et coton
TUQUE-VILLE	garniture	Étiquette pliée Lasclay
BANDEAU-TUQUE	matiere	Wadding noir // viseline
BANDEAU-TUQUE	isolant	Vegeto 150 g
BANDEAU	matiere	Extérieur : viscose
BANDEAU	matiere	Intérieur : viscose
BANDEAU	isolant	Vegeto 150 g
BANDEAU	garniture	Étiquette pliée Lasclay
BANDEAU	note	Deux modèles sur le même patron : torsadé (5 coloris) et sport (noir)
FOULARD	matiere	Extérieur : viscose
FOULARD	matiere	Intérieur : viscose
FOULARD	isolant	Vegeto 100 g, deux couches
FOULARD	garniture	Étiquette cache-cou / foulard
CACHE-COU	matiere	Extérieur : viscose
CACHE-COU	matiere	Intérieur : viscose
CACHE-COU	matiere	Viseline pour renforcer la boutonnière
CACHE-COU	isolant	Vegeto 150 g
CACHE-COU	garniture	Étiquette cache-cou / foulard
CACHE-COU	garniture	Élastique rond
CACHE-COU	garniture	Cord-lock + bille
CACHE-COU	garniture	Bille noire (stopper)
SEMELLE-678	matiere	Mylar
SEMELLE-678	matiere	Wadding noir (viseline)
SEMELLE-678	matiere	Mesh de TPU
SEMELLE-678	isolant	Vegeto 150 g
SEMELLE-678	parametre	Presse : 170 °C, 45 secondes
SEMELLE-678	note	Pas d'étiquette textile : emballage de type manchon en carton, plié et collé au ruban
SEMELLE-9	matiere	Mylar
SEMELLE-9	matiere	Wadding noir (viseline)
SEMELLE-9	matiere	Mesh de TPU
SEMELLE-9	isolant	Vegeto 150 g
SEMELLE-9	parametre	Presse : 170 °C, 45 secondes
SEMELLE-678	parametre	Surjet du pourtour après la presse — durabilité et finition
SEMELLE-9	parametre	Surjet du pourtour après la presse — durabilité et finition
SEMELLE-9	note	Pas d'étiquette textile : emballage de type manchon en carton, plié et collé au ruban
SAC-LUNCH	matiere	Extérieur : coton — 12 oz en vert, 10 oz dans toutes les autres couleurs
SAC-LUNCH	matiere	Intérieur : PVC
SAC-LUNCH	isolant	Vegeto 200 g
SAC-LUNCH	garniture	Étiquette Lasclay 2,6 x 7,5 cm
SAC-LUNCH	garniture	Webbing 2,5 cm
SAC-LUNCH	garniture	Boucle side release
BESACE	matiere	Extérieur : coton — 12 oz en vert, 10 oz dans toutes les autres couleurs
BESACE	matiere	Intérieur : nylon bleu
BESACE	isolant	Vegeto 200 g
BESACE	garniture	Étiquette Lasclay 2,6 x 7,5 cm
BESACE	garniture	D-ring
BESACE	garniture	Webbing 2,5 cm
BESACE	garniture	Fermeture éclair — spirale maille 5 ou 8, non séparable, 47 cm
TOTE	matiere	Extérieur : coton — 12 oz en vert, 10 oz dans toutes les autres couleurs
TOTE	matiere	Intérieur : nylon
TOTE	isolant	Vegeto 200 g
TOTE	garniture	Étiquette À CONFIRMER
TOTE	garniture	Webbing 2,5 cm
TOTE	garniture	Fermeture éclair — spirale maille 3, non séparable, 28 cm
ETUI-TEL	matiere	Extérieur : coton 12 oz
ETUI-TEL	matiere	Intérieur : coton 12 oz
ETUI-TEL	isolant	Vegeto 200 g
ETUI-TEL	garniture	Étiquette pliée
ETUI-TEL	garniture	Fermeture éclair — spirale maille 3, non séparable, 18 cm
ETUI-TEL	garniture	Webbing 2,5 cm pour la ganse (50 pouces de long)
ETUI-TEL	garniture	Lacet plat (boucle pour attacher la ganse)
ETUI-TEL	garniture	Crochets 2,5 cm pour les ganses
COUSSIN	matiere	Extérieur : coton 12 oz
COUSSIN	matiere	Intérieur : shell noir (le même que pour les mitaines)
COUSSIN	matiere	Mesh de TPU
COUSSIN	isolant	Vegeto 150 g
COUSSIN	parametre	Presse : 170 °C, 45 secondes
COUSSIN	garniture	Étiquette Lasclay 2,6 x 7,5 cm
COUSSIN	garniture	Webbing 2,5 cm
COUSSIN	garniture	Velcro 2,5 cm
COUSSIN	garniture	Biais vert ou noir
GLACIERE	matiere	Extérieur : coton — 12 oz en vert, 10 oz en noir (la ligne « coton 12 oz » du tableau contredit ses propres pastilles ; les pastilles font foi)
GLACIERE	matiere	Intérieur : PVC
GLACIERE	isolant	Vegeto 250 g
GLACIERE	garniture	Étiquette À CONFIRMER
GLACIERE	garniture	Webbing 5 cm
GLACIERE	note	Plus de chanvre. Il servait d'isolant au fond du sac ; il ne fait plus partie de la composition depuis le 09/09/2026. L'isolation du fond, c'est le Vegeto 250 g comme le reste du sac.
SAC-COUCHAGE-0	matiere	Extérieur : shell de nylon
SAC-COUCHAGE-0	matiere	Intérieur : shell de nylon
SAC-COUCHAGE-0	isolant	Vegeto 150 g
SAC-COUCHAGE-0	garniture	Étiquette Lasclay 2,6 x 7,5 cm
SAC-COUCHAGE-0	garniture	Fermeture éclair double curseur int/ext — spirale maille 8, non séparable, taille à confirmer selon le patron
SAC-COUCHAGE-0	note	La charte donne les deux grammages sans les attribuer ; c'est le plan de production qui tranche — il nomme les variantes « 150 g/m² (0 à 15 °C) » et « 250 g/m² (0 à -18 °C) ».
SAC-COUCHAGE-18	matiere	Extérieur : shell de nylon
SAC-COUCHAGE-18	matiere	Intérieur : shell de nylon
SAC-COUCHAGE-18	isolant	Vegeto 250 g
SAC-COUCHAGE-18	garniture	Étiquette Lasclay 2,6 x 7,5 cm
SAC-COUCHAGE-18	garniture	Fermeture éclair double curseur int/ext — spirale maille 8, non séparable, taille à confirmer selon le patron
SAC-COUCHAGE-18	note	La charte donne les deux grammages sans les attribuer ; c'est le plan de production qui tranche — il nomme les variantes « 150 g/m² (0 à 15 °C) » et « 250 g/m² (0 à -18 °C) ».
SAC-COUCHAGE-18	note	À RÉGLER : le plan met les DEUX chaleurs sous ce seul code, alors que SAC-COUCHAGE-0 existe comme produit distinct. Un des deux est en trop, ou la répartition est à déplacer.
OREILLER-CAMPING	matiere	Côté supérieur : toile de polyester
OREILLER-CAMPING	matiere	Côté inférieur : polar noir
OREILLER-CAMPING	isolant	Fibre recyclée et retailles de vegeto
OREILLER-CAMPING	garniture	Étiquette pliée
OREILLER	matiere	Coton 300 fils/po², 100 % coton percale, fil simple retors
OREILLER	matiere	Densité 300 fils/po² (~80 x 55 fils/cm), grammage 140 à 150 g/m²
OREILLER	isolant	Standard : 160 g de fibre + 160 g de soie d'asclépiade
OREILLER	isolant	King : 350 g de fibre + 350 g de soie d'asclépiade
OREILLER	garniture	Étiquette pliée Lasclay
OREILLER	garniture	Fermeture éclair blanche
OREILLER	note	Certification OEKO-TEX Standard 100, si disponible
OREILLER	note	LE REMBOURRAGE SE FAIT AU CANADA — la housse seule vient de Tunisie
CACHE-COU-ENF-18M4A	matiere	Extérieur : viscose
CACHE-COU-ENF-18M4A	matiere	Intérieur : viscose
CACHE-COU-ENF-18M4A	isolant	Vegeto 150 g
CACHE-COU-ENF-18M4A	garniture	Étiquette pliée Lasclay
CACHE-COU-ENF-18M4A	note	NI élastique, NI cord-lock, NI bille, NI boutonnière — contrairement à l'adulte ET au 5-13 ans, qui les gardent. Une seule garniture : l'étiquette pliée Lasclay.
CACHE-COU-ENF-18M4A	note	Norme des produits pour enfants : aucune pièce ne doit être détachable. Un cord-lock et une bille sur un cou de 18 mois, c'est un risque d'étouffement — c'est la même règle que sur les mitaines bébé.
CACHE-COU-ENF-18M4A	note	Patron enfant PROPRE, distinct de l'adulte — ce n'est pas l'adulte rapetissé. Cotes : schéma « petit enfant (18 mois - 4 ans) » de la charte.
CACHE-COU-ENF-18M4A	note	NOIR UNIQUEMENT. L'adulte garde ses cinq coloris ; l'enfant n'en a qu'un.
CACHE-COU-ENF-18M4A	note	Les photos de cette fiche sont celles de l'adulte : aucune fiche Shopify enfant n'existe encore. Elles montrent du vert, pas la pièce produite.
CACHE-COU-ENF-5A13A	matiere	Extérieur : viscose
CACHE-COU-ENF-5A13A	matiere	Intérieur : viscose
CACHE-COU-ENF-5A13A	matiere	Viseline pour renforcer la boutonnière
CACHE-COU-ENF-5A13A	isolant	Vegeto 150 g
CACHE-COU-ENF-5A13A	garniture	Étiquette cache-cou / foulard
CACHE-COU-ENF-5A13A	garniture	Élastique rond
CACHE-COU-ENF-5A13A	garniture	Cord-lock + bille
CACHE-COU-ENF-5A13A	garniture	Bille noire (stopper)
CACHE-COU-ENF-5A13A	note	Dans la charte, cette pièce est sous la carte « Cache-cou » — le tableau nomme plusieurs produits pareil.
CACHE-COU-ENF-5A13A	note	Patron enfant PROPRE, distinct de l'adulte — ce n'est pas l'adulte rapetissé. Cotes : schéma « grand enfant (5 - 13 ans) » de la charte.
CACHE-COU-ENF-5A13A	note	NOIR UNIQUEMENT. L'adulte garde ses cinq coloris ; l'enfant n'en a qu'un.
CACHE-COU-ENF-5A13A	note	Les photos de cette fiche sont celles de l'adulte : aucune fiche Shopify enfant n'existe encore. Elles montrent du vert, pas la pièce produite.
GANTS-MAGIQUES	note	Dans la charte, cette pièce est sous la carte « Mitaine de Laine » — le tableau nomme plusieurs produits pareil.
MIT-BEBE	note	Dans la charte, cette pièce est sous la carte « Mitaine de Laine » — le tableau nomme plusieurs produits pareil.
CHANDAIL	note	Dans la charte, cette pièce est sous la carte « Veste » — le tableau nomme plusieurs produits pareil.
VESTE	note	Dans la charte, cette pièce est sous la carte « Veste (fiche) et « Manteau 3-saisons » (vérifications) » — le tableau nomme plusieurs produits pareil.
TUQUE-VILLE	note	Dans la charte, cette pièce est sous la carte « Tuque beanie » — le tableau nomme plusieurs produits pareil.
TUQUE-VILLE	note	Le tricot vient de Chine, mais le bandeau intérieur est fait par l'équipe en Tunisie : 1 500 pièces au plan de l'atelier, une par tuque. Voir la fiche BANDEAU-TUQUE.
SEMELLE-9	note	Dans la charte, cette pièce est sous la carte « Semelle » — le tableau nomme plusieurs produits pareil.
SAC-COUCHAGE-0	note	Dans la charte, cette pièce est sous la carte « Sac de couchage » — le tableau nomme plusieurs produits pareil.
SAC-COUCHAGE-18	note	Dans la charte, cette pièce est sous la carte « Sac de couchage » — le tableau nomme plusieurs produits pareil.
BANDEAU	taille	Taille unique
BANDEAU	taille	Deux modèles sur le même patron : torsadé et sport
BANDEAU	coloris	Noir (#1a1a1a)
BANDEAU	coloris	Rouge (#9f3a1f)
BANDEAU	coloris	Vert (#184038)
BANDEAU	coloris	Gris pâle (#b5b5b7)
BANDEAU	coloris	Gris foncé (#58585b)
BANDEAU-TUQUE	taille	Taille unique
BANDEAU-TUQUE	coloris	Noir (#1a1a1a)
BESACE	taille	Taille unique
BESACE	coloris	Noir 10 oz (#1a1a1a)
BESACE	coloris	Rouge 10 oz (#8b2b37)
BESACE	coloris	Vert 12 oz (#37552f)
BESACE	coloris	Jaune 10 oz (#f1b92a)
BESACE	coloris	Beige 10 oz (#c69e7d) — dit « cassonade » au plan de production, écrit « Casonnade » au chiffrier, sans le second s. Un seul et même coloris.
BESACE	coloris	Rose 10 oz — 9 pièces au plan 26-27. Absent de la charte Miro, confirmé par Gabriel : c'est du 10 oz, comme le noir, le rouge, le jaune et le beige.
CACHE-COU	taille	Taille unique (adulte)
CACHE-COU	coloris	Noir (#1a1a1a)
CACHE-COU	coloris	Rouge (#9f3a1f)
CACHE-COU	coloris	Vert (#184038)
CACHE-COU	coloris	Gris pâle (#b5b5b7)
CACHE-COU	coloris	Gris foncé (#58585b)
CACHE-COU-ENF-18M4A	taille	18 mois - 4 ans
CACHE-COU-ENF-18M4A	coloris	Noir (#1a1a1a) — noir seulement
CACHE-COU-ENF-5A13A	taille	5 - 13 ans
CACHE-COU-ENF-5A13A	coloris	Noir (#1a1a1a) — noir seulement
CHANDAIL	taille	Unisexe : S M L XL XXL
CHANDAIL	coloris	Noir (#1a1a1a)
COUSSIN	taille	Taille unique
COUSSIN	coloris	Vert 12 oz (#37552f)
ETUI-TEL	taille	Taille unique
ETUI-TEL	coloris	Noir (#1a1a1a)
ETUI-TEL	coloris	Rouge (#8b2b37)
ETUI-TEL	coloris	Vert (#37552f)
ETUI-TEL	coloris	Caramel (#734b17) — canevas 12 oz plus foncé, un coloris À PART, à ne pas confondre avec le beige. Le plan de production l'appelle « Beige » : c'est le plan qui nomme mal, pas deux coloris.
FOULARD	taille	Taille unique
FOULARD	coloris	Noir (#1a1a1a)
FOULARD	coloris	Rouge (#9f3a1f)
FOULARD	coloris	Vert (#184038)
FOULARD	coloris	Gris pâle (#b5b5b7)
GANTS-MAGIQUES	taille	s/m et m/l
GANTS-MAGIQUES	coloris	Vert
GLACIERE	taille	Taille unique — 30 L
GLACIERE	coloris	Noir 10 oz (#1a1a1a)
GLACIERE	coloris	Vert 12 oz (#37552f)
MANTEAU-3SAISONS	taille	Femme : XS S M L XL XXL
MANTEAU-3SAISONS	taille	Homme : S M L XL XXL
MANTEAU-3SAISONS	coloris	Noir (#1a1a1a)
MANTEAU-HIVER	taille	Femme : XS S M L XL XXL
MANTEAU-HIVER	taille	Homme : S M L XL XXL
MANTEAU-HIVER	coloris	Noir (#1a1a1a)
MIT-BEBE	taille	Unisexe : XS S M L XL
MIT-BEBE	coloris	Vert
MIT-CUIR	taille	Unisexe : XS S M L XL
MIT-CUIR	coloris	Noir (#1a1a1a)
MIT-LAINE	taille	Unisexe : XS S M L XL
MIT-LAINE	coloris	Vert
MIT-PLEIN-AIR	taille	Femme : XS S M L XL XXL
MIT-PLEIN-AIR	taille	Homme : S M L XL XXL
MIT-PLEIN-AIR	coloris	Noir (#1a1a1a)
MIT-POLAR	taille	Unisexe : XS S M L XL
MIT-POLAR	coloris	Noir (#1a1a1a)
MIT-POLAR	coloris	Gris
MIT-POLAR	coloris	Violet
MIT-POLAR	coloris	Rouge
OREILLER	taille	Standard — 26 x 20 po
OREILLER	taille	Grand (King) — 36 x 20 po
OREILLER	coloris	Blanc (#ffffff)
OREILLER-CAMPING	taille	Taille unique
OREILLER-CAMPING	coloris	Noir et gris (#1a1a1a)
SAC-COUCHAGE-0	taille	Chaleur : Vegeto 150 g — 0 à 15 °C
SAC-COUCHAGE-0	coloris	Noir (#1a1a1a)
SAC-COUCHAGE-18	taille	Chaleur : Vegeto 250 g — 0 à -18 °C
SAC-COUCHAGE-18	coloris	Noir (#1a1a1a)
SAC-LUNCH	taille	Taille unique
SAC-LUNCH	coloris	Noir 10 oz (#1a1a1a)
SAC-LUNCH	coloris	Rouge 10 oz (#8b2b37)
SAC-LUNCH	coloris	Vert 12 oz (#37552f)
SAC-LUNCH	coloris	Jaune 10 oz (#f1b92a)
SAC-LUNCH	coloris	Beige 10 oz (#c69e7d) — dit « cassonade » au plan de production, écrit « Casonnade » au chiffrier, sans le second s. Un seul et même coloris.
SAC-LUNCH	coloris	Rose 10 oz — 55 pièces au plan 26-27. Absent de la charte Miro, confirmé par Gabriel : c'est du 10 oz, comme le noir, le rouge, le jaune et le beige.
SEMELLE-678	taille	5F, 6F, 7F, 8F — les quatre petites pointures du parc
SEMELLE-9	taille	9F, 10F, 11F, 12F, 13H, 14H, 15H — les sept grandes
TOTE	taille	Taille unique
TOTE	coloris	Noir 10 oz (#1a1a1a)
TOTE	coloris	Rouge 10 oz (#8b2b37)
TOTE	coloris	Vert 12 oz (#37552f)
TOTE	coloris	Jaune 10 oz (#f1b92a)
TOTE	coloris	Beige 10 oz (#c69e7d) — dit « cassonade » au plan de production, écrit « Casonnade » au chiffrier, sans le second s. Un seul et même coloris.
TOTE	coloris	Rose 10 oz — 10 pièces au plan 26-27. Absent de la charte Miro, confirmé par Gabriel : c'est du 10 oz, comme le noir, le rouge, le jaune et le beige.
TUQUE-SPORT	taille	s/m et m/l
TUQUE-SPORT	coloris	Noir (#1a1a1a)
TUQUE-VILLE	taille	Femme : XS S M L XL XXL
TUQUE-VILLE	taille	Homme : S M L XL XXL
TUQUE-VILLE	coloris	Noir (#1a1a1a)
TUQUE-VILLE	coloris	Jaune (#f1b92a)
TUQUE-VILLE	coloris	Gris (#b0b0b0)
VESTE	taille	Femme : XS S M L XL XXL
VESTE	taille	Homme : S M L XL XXL
VESTE	coloris	Noir (#1a1a1a)
