# Bris signalés par les clients — la part qui se versionne.
#
# Produit par « node bris_missive.js retenir <brouillon> ». Le brouillon, lui,
# ne se versionne pas : il porte les fils écartés en texte intégral. Ici il ne
# reste que les signalements retenus, et de chacun ce que le mur affiche.
#
# Les citations sont les mots du client, jamais reformulés — c'est ce qui fait
# comprendre un bris à quelqu'un qui n'a jamais tenu la pièce. Le nom, le
# courriel, le numéro de commande et le téléphone en ont été retirés.
#
#   produit   code du produit dans le MRP
#   zone      où ça casse : « couture de bretelle », « usure de la semelle »
#   citation  le client, mot pour mot, anonymisé. NE PAS reformuler.
#   photos    adresses web, séparées par une espace. Des ADRESSES, jamais des
#             fichiers : l'app n'héberge rien.
#   source    le fil Missive d'origine, opaque. C'est lui qui rend l'import
#             rejouable : corriger une ligne et relancer met à jour.
#
# 110 signalements, 80 avec photo.
produit	zone	date	citation	photos	source
SAC-LUNCH	cernes après nettoyage à l’eau	2026-03-30	Bonjour, J’ai acheté un sac à lunch de votre compagnie le 15 janvier 2026. Je l’adore, je trouve qu’elle est de bonne qualité. Cependant, elle avait des petites taches que j’ai frotté avec un linge humide. Cela a laissé de grandes cernes sur le sac à lunch. J’ai essayé de rincer à l’eau, et rien à faire, la boîte à lunch est dans un état terrible. Pourriez-vous me donner des conseils? Ou me dédommager? J’ai acheté des mitaines et un cache-cou de vous, je recommande votre compagnie à tout mon entourage. Je suis vraiment triste de l’état de ma boîte à lunch. Ci-joint les photos de mon sac à lunc	https://drive.google.com/file/d/19Egao6lgHVhGQK5J0DFec0FUXcJRbKhM/view https://drive.google.com/file/d/1_1bHKIQGRicIUr1jGxSe9_Un9DkN521s/view https://drive.google.com/file/d/15IwgDbpd7kL_YMBrpejBUQc-DzbzGA_G/view https://drive.google.com/file/d/1rr2m2D4YMRGNJbbAJCO6Vj-9B6YLTJ5y/view https://drive.google.com/file/d/17mFchC1BILxz5ddFMLfeEgGn1kTZIrGA/view	missive:84d1245e-8ec4-4cd9-9bf5-86ca08c8810a
SAC-LUNCH	boucle — ne clique pas, s’ouvre à la traction	2026-03-29	Bonjour, J’ai acheté un sac à lunch début mars, il s’agissait d’un cadeau et je viens de l’offrir à la personne en question. Elle a donc essayé la fermeture et s’est rendu compte que le dispositif ne clique pas et qu’il s’ouvre donc avec une simple traction (voir vidéo ci joint). Pourriez vous m’aider avec cette situation? Merci et bonne journée		missive:7ed3ce1c-8596-4511-b572-bfe5129dbbd9
SAC-LUNCH	coutures aux deux extrémités du webbing	2026-03-10	Hi there, I wanted to reach out because I purchased one of your lunch bags about a month and a half ago, and after a handful of uses I noticed the seams on both ends of the webbing beginning to rip. I bought it from the Local Refillery in Courtenay, BC and didn’t get a receipt at the time but I believe I’m past the return date now. I adore this lunch bag and I’m worried the seams are ripping further with each use. I will attach some images of the bag to show the issue. I would greatly appreciate any solutions you have to offer as I do want to continue using this bag! Thank you! Kind regards	https://drive.google.com/file/d/1O6pIzHeD3SEc35omOyyVbnBXeH2ZdCnF/view https://drive.google.com/file/d/1n0Ek5j32eBB3bG655b8ceIGo_GQZefmW/view https://drive.google.com/file/d/1y4d1KtSN9tOd5Ylm2mRd0_NxpNmliCYN/view https://drive.google.com/file/d/1xt3vz08FZCBXk-AiyiR1BKeDddhNovao/view https://drive.google.com/file/d/1r7fzrAnNdel0t4Ikyqv7daqVDgmhAT7n/view	missive:b0096dc7-2ff0-40ab-8bc9-8e91496285e4
SAC-LUNCH	boucle de sangle ne s’enclenche pas	2026-03-06	Bonjour, J’ai reçu livraison de cette commande. Hors la boucle de la sangle du sac à lunch ne fonctionne pas, elle ne s’enclenche pas. J’aimerais donc retourner le produit ainsi que la rallonge de sangle que j’avais commandée, car je ne souhaite pas remplacer ce sac que j’avais acheté pour offrir en cadeau, je le trouve trop difficile à manipuler. Puis-je également retourner le bandeau, qui est trop large pour la tête de ma maman, qui est une toute petite personne et à qui je destinais cet achat. Merci pour votre suivi, [téléphone] Le lun. 23 févr. 2026 à 12:20, Lasclay <[courriel]> a écrit :		missive:9ee9af50-ea59-43f4-bc03-a1347ad379a2
SAC-LUNCH	attache se défait sans tension	2026-03-04	Bonjour, J’ai acheté un sac à lunch il y a quelques jours. Cependant l’attache du sac à lunch ne tient pas et se défait constamment, même sans tension, ce qui rend son utilisation comme sac à lunch vraiment désagréable, voire impossible. C’est bien dommage, parce que c’est un beau sac. Je voudrais voir avec vous comment résoudre ce problème.		missive:313d5376-35d7-48c8-aa16-95ed22db41f4
SAC-LUNCH	attache de bandoulière ne fonctionne pas	2026-03-03	Bonjour, j’ai reçu ma commande par contre l’attache pour ajouter une bandoulière ne fonctionne pas. J’ai tenté de prendre un vidéo. Est-ce possible de me renvoyer que cette partie? Merci		missive:f9951be0-d2d8-4608-b30d-b83a84045eca
SAC-LUNCH	clip ne bloque pas — la poignée s’ouvre seule	2026-02-24	Bonjour, j’ai acheté un sac à lunch le 6 février. (voir facture ci-dessous) Lorsque je ferme l’attache, elle ne se bloque pas (clip). Par conséquent, la poignée du sac s’ouvre toute seule. C’est problématique. Veuillez me proposer une solution. Steve Brillant		missive:0d0c7f07-e246-426c-b8af-e9dfe055fd8d
SAC-LUNCH	kit de rallonge — attaches non compatibles	2026-01-30	Bonjour, Je viens de recevoir mon kit de mise à niveau pour mon sac à lunch ( Commande [commande]). Malheureusement, les attaches ne sont pas compatibles et je n'arrive pas à connecter la rallonge... je suis pas mal déçue. Est-ce que ça peut être parce que vous avez changé le modèle? Je possède mon sac depuis 2023 (à mon souvenir). En espérant trouver une solution		missive:a6359496-ebd3-4184-811c-a77efa006afc
CACHE-COU	couture du milieu absente — isolant non retenu	2026-01-07	Bonjour, Merci pour tous les produits livrés juste à temps pour Noël. Il y a un des cache-cou qui n'est pas terminé ( le gris foncé) il n'a pas de couture au milieu pour retenir en place l'isolant et pas d'étiquette. Voir photos plus bas Que proposez-vous? Petite suggestion: mettre seulement votre logo et le nom Lasclay du côté extérieur. Le petit texte ce n'est pas très esthétique... Merci -Biebuyck [téléphone] Le 22 déc. 2025 3 h 43 p.m., Lasclay <[courriel]> a écrit : Commande [commande] Votre commande a été livrée Vous n'avez pas encore reçu votre colis? Veuillez nous le signaler Afficher	https://drive.google.com/file/d/15ARjSB9n-fhI_sSSFZGjXsGqFdTsl8Lw/view https://drive.google.com/file/d/10S4nzo8ikBRvvu7sSgpVdvhqoFXj7yv9/view	missive:2af0a4e3-46b4-4f7a-bad1-13375eff91dc
SAC-LUNCH	clips de bandoulière	2025-10-02	Bonjour, J'ai bien reçu ma commande, mais les 2 kits de bandoulière ne tiennent pas: les clips se défont des que je soulève la boîte à lunch, même si elle est vide. Que pouvez-vous faire? Merci ====================================================================== [téléphone] Le mar. 23 sept. 2025, 11 h 49, Lasclay <[courriel]> a écrit : Commande [commande] Votre commande a été livrée Vous n'avez pas encore reçu votre colis? Veuillez nous le signaler Afficher votre commande (https://lasclay.com/_t/c/v3/AAD3MQzwuyKV7QIq_JPvWi-TWKWm8GLNZx4TCXL0CwVVC0mAjeVECD33K--lqEY_LQmVnHUd9d0nmK		missive:36c435aa-ae6c-408e-8552-1d0c25932dd3
SAC-LUNCH	bande de fermeture	2025-05-03	Bonjour, Juste vous mentionner que j’ai un sac à lunch jaune Lasclay que j’ai utilisé tous les jours de la semaine. Malheureusement le haut du sac, la bande de fermeture noire, se découd et l’extérieur reste taché. Bref, il est rendu moche et d’apparence sale. Je tenais à vous en informer pour, peut-être, améliorer/modifier ce produit. Bonne continuation!	https://drive.google.com/file/d/147tc4QB-9JcE-2Xsss2GM1Tqld3iylVH/view https://drive.google.com/file/d/1XrYsGCdUe85DX1rmmxTXFGb-icjbg6bu/view https://drive.google.com/file/d/1n1WvolwTufQ6XZrQcPloDVan07Xf2BID/view	missive:02dbed99-a4eb-4ea9-a0f9-9b6c3630244f
SEMELLE-678	défaut après une saison	2026-02-21	Bonjour, J’adore vos produits et j’en ai achetés plusieurs au fil des années, pour moi et en cadeau. Cependant, je suis déçue de voir qu’après seulement une saison, j’ai un problème avec mes semelles (dont je me vente sans cesse car elle me garde au chaud). La couture en labyrinthe semble être faite pour maintenir l’asclépiade en place, mais malgré ça, une de mes semelles est rendue inutilisable car toutes les fibres sont maintenant au centre sous l’arche du pied… voir les photos ci jointes. Est-ce qu’il serait possible d’avoir une semelle de remplacement? Merci pour votre attention	https://drive.google.com/file/d/1H6Kkgq58RS9zI3eUv3202s_TzWspjpWP/view https://drive.google.com/file/d/1J8pSRwWRU6KUlkX4TBEhzHrgCHIuVMSK/view https://drive.google.com/file/d/14fXmS5fD7exK6ZtOyRXDlUyKFgQvTNWW/view	missive:b56f73fd-983a-4e33-a0cb-6d42b3a1d434
SEMELLE-678	découpe — formes et épaisseurs inégales	2026-02-20	Bonjour Hari, Défauts de fabrication. Les semelles sont mal découpées. Elles n'ont pas la même forme si on les mets envers sur endroit. Elles n'ont pas la même épaisseur, il manque de rembourrage dans l'une des deux. Très décevant. Je ne vois pas d'autre solution que de me les faire rembourser à moins que vous soyez en mesure de me garantir qu'on peut m'envoyer une autre paire de semelles qui sera impeccable. Merci pour le suivi! Louise		missive:3a4255f4-cbea-4609-97a2-843d755632e8
PANTOUFLES	dessous abîmé	2026-02-01	Bonjour, l'année dernière j'ai acheté des pantoufles, que j'ai portée uniquement à l'intérieur et elles sont déjà abîmé en dessous. J'imagine qu'il n'y a pas de garantie mais je tenais à vous en faire part. J'avoue être un peu déçue. Voici des photos pour ma preuve d'achat et de l'état du maintenant.	https://drive.google.com/file/d/1frZ7tZWR4A3-b-5vEWiP4GM5vkkjIDcG/view	missive:ed364253-b440-4570-9bfe-28088df021fc
PANTOUFLES	dessous troué	2026-01-31	Bonjour, J’ai acheté ces pantoufles. En octobre COMMANDE [commande]. Je les ai offertes à mon conjoint pour Noël. Il les aime beaucoup et tiennent bien ses pieds au chaud. Cependant, elle sont déjà trouées. Il les porte tous les jours à l’intérieur. Que pouvons-nous faire pour remédier à ce problème? En avez-vous avec des semelles plus solides? Merci via iPhone	https://drive.google.com/file/d/1Zq768l31j0Vkum0NhZGFq3xc-BZf-Yej/view	missive:5cf2d508-c578-4f75-a112-b3ba44695626
SEMELLE-678	couture et revêtement	2025-12-06	Bonjour J'ai fait l'achat de vos semelles l'hiver passé. Mais, je n'ai débuté qu'à les porter il y a une semaine et demi et elles se décousent et le revêtement s'amincit. Elles ont aussi de la difficultées à rester en place au fond de la botte. Cependant, je ressens plus de chaleur 😊 J'aimerais savoir si vous avez une certaine quantité dont la qualité est moindre que les autres. Malheureusement, je ne suis pas satisfaite de ce produit. Je préférerais vous en parler personellement que de faire un commentaires public. Merci, Le 24 févr. 2025 11 h 10, Lasclay <[courriel]> a écrit : Comma	https://drive.google.com/file/d/1NOm3q6gm3_aJ652BvP1rGMtySwJIPDiL/view https://drive.google.com/file/d/1O555V7uzSuruP1nlMAXSY-ilSfPWaY9L/view https://drive.google.com/file/d/1x-YAH0bq4uf4r5IChghQCF2es9WrODZV/view https://drive.google.com/file/d/1QJSS3wvfxQ95vcKHhdPZUn6BJ1rvqFQt/view	missive:df557d74-1d16-4cf9-a610-815276f8d0a3
SEMELLE-678	usure de la semelle	2025-09-06	Bonjour, Ma copine, m’a offert vos pantoufle en cadeau l’hiver dernier. Après seulement 6 mois, la semelle était trouée par l’usure. Elle vous en a fait part dans un courriel auquel elle a joint quelques photos (ci-jointe). En réponse, vous lui mentionniez quelques votre département de recherche et développement allait se pencher sur ce problème. Depuis, aucune nouvelle. Dans votre récente publicité reçue cette semaine, il semble que vos pantoufles comportent le même matériel. Pouvez-vous me revenir là-dessus. Merci de faire suite.	https://drive.google.com/file/d/1dhLrxxMCrgPG2IvyhxZP4OPxbiEbYEz2/view https://drive.google.com/file/d/10gkhnkwwRUA-GoltUnn6OR_jrwXZ6M9Z/view https://drive.google.com/file/d/1G4bQWaWDIyMp74NkOdHzlfbJxXOQvLjT/view	missive:852f787a-dfba-4bc5-8c27-248d2081957b
SEMELLE-678	usure de la semelle	2025-02-15	Bonjour, J’ai commandé ces semelles le 30/12, et je les ai reçues mi-janvier. Commande [commande] Je ne les ai pas utilisées tous les jours et déjà elles sont très usées, des bouts sont même « chipés ». Normal selon vous? Que me conseillez-vous de faire pour ralentir l’usure? Mettre une autre semelle par-dessus? Les couvrir de duck tape? De masking tape? Je trouve ça dommage car elles sont très efficace pour bloquer le froid de plancher de béton et je les recommanderais haut et fort si ce n’était de l’usure prématurée… À moins que vous me disiez que leur espérance de vie est de < 2 mois avec p	https://drive.google.com/file/d/1nX7s92FHNQ_zjMeuQa_nD-0XXRbMnRF3/view	missive:f9bb7602-d845-41ee-848c-c078ad7dcb93
SEMELLE-678	usure de la semelle	2025-02-14	Bonjour, Merci, j'ai bien reçu mes semelles d'asclépiade. Je vous écris pour vous faire part de ma déception concernant la qualité de ces semelles. J'avais déjà acheté une paire de semelles en novembre 2023 desquelles j'étais entièrement satisfaite. Je les porte dans mes bottes d'hiver depuis ce temps et elles sont très confortables et encore en bon état. Je me suis procurée une deuxième paire pour ma nouvelle paire de bottes. Je porte les nouvelles semelles depuis à peine 2 semaines. Je constate déjà l'usure de la couche supérieure mais surtout son instabilité dans ma botte. La semelle ne res	https://drive.google.com/file/d/1TrF-3jZgFyB2YRL3TRIh1xqOOc5iEHi4/view https://drive.google.com/file/d/11GLtXnd5ixtqqpTd6j-uJpQpxfbSOOky/view	missive:67183b27-46ff-436d-a4e9-9b4b3a5ac338
SEMELLE-678	usure de la semelle	2025-01-19	Bonjour, ma copine m’a fait cadeau de semelle pour Noel. J’ai décidé d’en installer une pour essayer et voir le confort apporté. Après 2 semaines d”utilisation, la semelle est vraiment usée et je me demande si je l’utilise correctement. J’ai vu sur le site que la partie argentée est sur le dessus. Voir la photo attachée pour celle qui est neuve et l’autre. Est ce que cela est normal? Merci	https://drive.google.com/file/d/1m7E5g-IwYrmQhsY-zyblssSBUjpFFgNa/view	missive:581dc57a-6172-442a-8bc0-e6525ad153b0
SEMELLE-678	côté décollé après une utilisation	2025-01-11	Bonjour, Je vous contacte car j'ai reçu vos semelles en cadeau pendant les fêtes. J'ai utilisé celles-ci une seule fois, pour aller magasiner et faire l'épicerie et le côté de la semelle gauche s'est décousu (ou décollé). Voir photo. Je ne peux donc que croire que c'est un default de fabrication avec l'usure que j'en ai fait.. Quelle est votre politique pour cette situation? Est-ce que je dois vous retourner les semelles pour en recevoir de nouvelles? Voir le courriel ci-bas pour les informations de la commande. Il s'agit de pointure 9 Merci!	https://drive.google.com/file/d/1DxLxsF4CWRbpYPJYYybjz7Mb_r6h7bvo/view https://drive.google.com/file/d/1J0NwErieczWtc-HF-7WImLY1GZoeJgOQ/view https://drive.google.com/file/d/1EN9tm_xPoGhsCbFiNMeRbFcZ80H2Tkzp/view https://drive.google.com/file/d/19laZ3hdP5rnUM7a5bYXq9Xr04ZXXY1RN/view	missive:10e59a85-a135-4d08-8d70-42f63d9694a7
SEMELLE-678	se replie dans la botte	2024-12-16	Bonjour, Ma conjointe a acheté une paire de semelles intérieures isolantes taille 6 pour femme à l'hiver 2024 et elle les a porté deux fois seulement car les semelles se replie sur elle-même dans la botte malgré la bonne grandeur (manque de rigidité) et elles se défont (colle ou couture qui ne tient pas). Est-ce un problème récurrent sur ce produit et est-ce que le produit a évolué pour ne pas que ce problème se reproduise? Vous trouverez 2 photos en pièces jointes Acheté au nom de Dominique Lalonde 1-2705 Boulevard Saint-Joseph Est, Mtl, [code postal] [téléphone]	https://drive.google.com/file/d/1sjkEpFeax_KwMs0hPTx-IdW236QesWIv/view https://drive.google.com/file/d/1zwK5wUiAuyk_5p4Gxd9qAPVgN_K1YgKt/view	missive:8dbd7497-f5a0-4324-887f-7149bef4a714
TUQUE-SPORT	trouée à la réception	2026-03-04	Bonjour, La tuque que vous m’avez envoyée était trouée. La commande était [commande]. Ce serait possible de vous la renvoyer?	https://drive.google.com/file/d/1tAHFPhe_QL-Arv-Vs94-rNwysNG9-3Lh/view	missive:b0552fa6-abe5-433e-a005-73cb5c3983ea
TUQUE-SPORT	couture manquante à l’intérieur, bourrure mal répartie	2026-01-10	Bonjour, J'ai reçu ma commande hier. Au niveau de La Tuque, il y a un bris à l'intérieur, il manque une couture. J'aimerais la retourner et obtenir un remboursement s.v.p. je suis un peu déçue de la bourrure, ça fait une drôle de texture lorsque tu la portes... Les caches cou sont bien, quoi que l'ouverture pour la tête soit vraiment serrée, surtout la couleur grise... je vous envoie des photos, dites-moi comment procéder pour retourner et me faire rembourser svp. Bonne journée à vous	https://drive.google.com/file/d/1-Z5u7gbyG9wmQX28mrC7zrBvzTOdmL3c/view https://drive.google.com/file/d/1MuMaXuI7O6qlNAF1-JBN7DeBqtji9PbR/view	missive:d86e9dca-544e-4323-8162-54388cac9a7b
*	paire dépareillée	2025-12-07	Bonjour, J'ai reçu mes mitaines il ya quelques semaines déjà et comme il ne faisait pas froid je ne les avais pas vraiment essayé, sauf que maintenant que je l'ai fait je constate qu'elles n'ont pas la même taille. La main gauche mesure 5 mm de plus que la main droite, et ma main se sent complètement perdue à l'intérieure. Déjà que les pouces so t beaucoup, mais beaucoup trop grands pour moi. Bref, j'ai l'impression qu'on m'a envoyé deux tailles différentes. Est-ce qu'il y a une solution pour remédier à mon problème de mitaines de tailles différentes? Merci, Le mar. 21 oct. 2025 à 11:16, Lascl		missive:950feb9d-7bc8-4f7a-8ee8-6c82008ea525
SEMELLE-678	bourrure mal placée — bosse sous le pied	2025-03-08	Bonjour, Je viens d’acheter des semelles chez vous et la bourrure d’asclépiade est mal placée. Je m’explique, elle forme une bosse sous le pied entre les orteils et la plante des pieds moi qui a des problèmes de pieds, ça risque de me causer des dommages à la courbes de mes pieds. Ça devrait être de plus égales dans les deux semelles. Si vous pouviez m’en retourner d’autres sans problème. Je pourrais vous retourner celles-ci, en me disant comment procéder. Merci de notre écoute. 168, Hochar St-Sauveur, [code postal] Le sam. 8 mars 2025 à 10:09, Lasclay <[courriel]> a écrit : + vente de fin d'h		missive:136409e1-334d-4ef2-a0a4-8f44833f84cb
VESTE	couture de la fermeture éclair	2026-04-28	Bonjour, Je suis vraiment surprise et satisfaite de ma veste. Elle est très chaude et j’adore la conception des poches qui offre de belles possibilités. Par contre, après 2 utilisations, la couture de la fermeture éclair à commencer à céder. Je ne sais pas si c’est une bad luck sur ma veste, ou si il y a un défaut dans la confection de la couture. Je vous écris principalement par soucis d’amélioration du produit qui mérite d’être partagé et encourager. Merci de redonner de la valeur à ce que la nature nous offre et aider les monarques par le fait même. Josianne Simard	https://drive.google.com/file/d/1B7w6OgnkDULrzC0ACx78qO_Xt6pOlLRs/view	missive:a43a0ee7-cadd-4586-a352-9809d5e56e00
VESTE	couture de la fermeture éclair	2026-04-03	Bonjour Gabriel, J' espère que tu vas bien. je voulais t'indiquer qu'après deux utilisations seulement,la couture de la fermeture de ma veste sans manche s'est défaite ☹️. je me suis penchée pour attacher mes bottes et voilà le résultat! j'ignore si je suis là seule à qui c'est arrivé mais c'est décevant! je t'envoie des photos pour illustrer mon propos. En espérant que ça puisse t'aider à apporter certaines améliorations pour le futur. Amicalement	https://drive.google.com/file/d/1GnHHYOHMZwZCcS8JKTJ-xJqGXiiIXlJH/view https://drive.google.com/file/d/16_zF3CHdPjINc0LR50ftKjgdDcYrG-25/view	missive:124e442b-b29d-46d2-9c41-39252ca1d1c3
GLACIERE	ajusteur de bretelle	2026-08-16	Bonjour, J’ai acheté un sac à dos isolant à l’automne dernier, pour l’utiliser cet été en voyage. Il a été très utile, par contre, la pièce de plastique qui sert à ajuster la longueur de la bretelle a cassée. Nous l’avons rafistolée pour la fin de notre voyage, mais je me demandais s’il était possible d’avoir une pièce de remplacement? Parce que c’est une pièce assez spécifique et l’utilisation du sac est beaucoup moins confortable sans. Je pourrais m’organiser avec un cordonnier pour faire découdre et recoudre la bretelle. Si vous voulez, je peux vous envoyer une photo si nécessaire. Merci et	https://drive.google.com/file/d/1cImvPMccmwcWz4LHnHeWlSU5mO0WoxBg/view https://drive.google.com/file/d/1LW3G2kKGCBSAF6gQUL-3Bj2WknytxEjQ/view	missive:995729d8-bbce-4995-9fe8-5e378b4b43e6
GLACIERE	pièce de fermeture du sac brisée	2026-07-02	Bonjour, Ceci est mon 3e message. La pièce pour fermer le sac à dos s'est brisée simplement en l'utilisant normalement... Est-ce le plastique qui a séché? Je cherche donc à remplacer le morceau. Merci de m'aiguiller à ce sujet, j'aimerais bien profiter de mon sac pour l'été.!	https://drive.google.com/file/d/1j1qWOw32QbhHMf78TSc75K9c_0vnIsNn/view	missive:4a1d4b2d-78c6-4473-8917-34561ab914fa
GLACIERE	pièce de fermeture brisée	2026-05-26	Bonjour, Une pièce s'est brisée sur mon sac à dos Lasclay en voulant fermer le sac. Pourrais-je avoir la pièce pour la réparation svp? Avez vous des modèles en métal pour plus de durabilité? Merci!	https://drive.google.com/file/d/1pnvSKSBhA7SYYdW0oLK3VC1-ROjm22bf/view	missive:180509cd-0850-422a-b3a2-c489360736c0
*	se défait de l’intérieur	2026-03-09	Bonjour, Quelque temps après que j'ai acheté mon sac, il a commencé à se défaire de l'intérieur. Je n'ai pourtant rien mis de lourd et je fais attention à mes choses. Y'a t-il une possibilité que vous puissiez le réparer? J'aime beaucoup mon sac sauf pour ce défaut. Désolé du délai pour vous contacter. Mon numéro de commande était: [commande] Merci beaucoup! [téléphone]	https://drive.google.com/file/d/1y8s8C5Lx3T2MU4sCJr0MdESXYHIeMP5t/view https://drive.google.com/file/d/1BwGi3n4J-qiM-jgjh3n9VfAapMaSx8_4/view	missive:4bf124bc-0ffb-453e-ba65-8d9f983a0091
GLACIERE	bretelle brisée et boucle plastique de la sangle avant	2026-03-01	Bonjour, je vous contact, car j'ai un sac 30L et la bretelle a brisée. Avec chance j'ai réussit à la faire recoudre par une couturière du coin. Par contre, la boucle en plastique pour la sangle du devant est aussi brisée. Je ne demandais si vous seriez en mesure de m'envoyer une boucle pour pouvoir continuer à utiliser le sac? Merci :)		missive:e38dbed9-c5cd-45fc-8a50-cf4bb38ab2b0
*	étiquette absente sur une pièce	2026-02-20	Hey there! Received my package. The product feels and looks AMAZING. This isn't an complaint. But I did notice that one of the products had the label attached, the other did not. Just want you to be aware is all! Doesn't affect use. I'm very happy with the purchase, and thank you for the milkweed seeds!!!!	https://drive.google.com/file/d/1Cp0r7FVIeLqyFMG3re4oIiADlNGkBw7V/view	missive:c18b66c2-2610-4a94-aaf6-8e18f96ebbc7
SAC-LUNCH	impossible de fermer la boîte	2026-02-12	Bonjour équipe de Lasclay, Nous avons reçu notre commande et nous apprécions comme d'habitude la qualité de vos produits. Malheureusement, après plusieurs tentatives, nous ne parvenons pas à fermer notre boite à lunch. Ce serait gentil de votre part de nous indiquer la façon de procéder. Vous trouverez une photo de notre boite ci-joint.😉😉😉 Amicalement	https://drive.google.com/file/d/1lFkLo-VYKMhPjg-ky3KZvQQWX_PMvyYu/view	missive:0b6fcdbe-363b-46e9-a4b0-4099afa69074
ETUI-TEL	finition	2026-01-12	Bonjour, Je voulais vous rapporter mon impression du sac isolant pour téléphone que j'ai acheté l'été dernier (commande # [commande]). Je viens de commencer à m'en servir vu le temps froid, et la finition est décevante. Dès le premier jour, il s'est effriché sur la partie du rabat, (voir la photo), probablement à cause d'une absence de "finition" du bord du rabat. Je vois que le modèle sur votre site est quelque peu changé, où vous avez maintenant une fermeture éclair au lieu du rabat. Je devine que ce changement de design a adressé ce problème? Deuxièmement, ça fait 3 fois que je l'utilise, e	https://drive.google.com/file/d/1-IBy7GVfswWxXQw1B5se0LqYxTj0Kk6_/view https://drive.google.com/file/d/1Uzdytqz934Jwyp6_v08MP9Bhgm4ZNi7I/view	missive:be4a8796-2335-401b-89ee-2b6fb464bc2e
*	deux pièces défectueuses	2026-01-01	Bonjour, Ayant attendu Noël pour offrir les items que je vous avais commandé, j'ai bien déçu mon fils avec ses 2 cadeaux. Je joins 2 photos. J'espère que vous pourrez lui changer ces 2 items défectueux pour mieux. Les autres items étaient tout à fait corrects. Dans l'attente de votre réponse	https://drive.google.com/file/d/1KrcswaLX52jQZ1asvbwLriQ-ZcJunz4-/view https://drive.google.com/file/d/1zqVDOhlVCW68YhS7magB_HsX7XxLQuMc/view	missive:9a020354-23e1-4d5a-98eb-f3ad0738a350
