produit	handle	rang	url	largeur	hauteur	texte_alternatif
2x Sac Lunch	2x-sac-lunch	3	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/LUNCHBOX-45FRONT_C_-BEIGE.png?v=1782265451	1638	2048	Sac à lunch isotherme beige Lasclay en toile de coton à doublure imperméable, rabat enroulable à boucle, isolant à la soie d'asclépiade qui garde le repas frais, sur fond blanc.
2x Sac Lunch	2x-sac-lunch	4	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/LUNCHBOX-45FRONT_C_-RED.png?v=1782265390	1638	2048	Sac à lunch isotherme rouge Lasclay en toile de coton à doublure imperméable, rabat enroulable à boucle, isolant à la fibre d'asclépiade qui garde le repas frais, sur fond blanc.
2x Sac Lunch	2x-sac-lunch	5	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/LUNCHBOX-45FRONT_C_-PINK.png?v=1782265511	1638	2048	Sac à lunch isotherme rose Lasclay en toile de coton à doublure imperméable, rabat enroulable à boucle, isolant à la soie du Québec qui garde le repas frais, sur fond blanc.
2x Sac Lunch	2x-sac-lunch	6	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/2023-07-Lasclay-Lunch-gif-ouverture.gif?v=1689885154	1024	720	
2x Sac Lunch	2x-sac-lunch	7	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/2023-07-Lasclay-Lunch-4x5-360-2_711363eb-c6d5-4374-bbb3-b72f604a258c.gif?v=1770319942	819	1024	
2x Sac Lunch	2x-sac-lunch	8	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/a8a2b95c-159c-4243-8836-5f35b6d3d73d.jpg?v=1722650710	702	768	Quatre sacs à lunch isothermes en coton, isolés à la soie d'asclépiade, pour garder les repas au frais.
2x Sac Lunch	2x-sac-lunch	9	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/Lasclay-Lunchbag-4x5-07-2_90e4a4c9-cd10-4632-9f95-7a67a0580440.jpg?v=1721399621	1638	2048	
2x Sac Lunch	2x-sac-lunch	10	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/Lasclay-Lunchbag-4x5-08-2_0def6195-c127-4f04-8d8e-9929492405fa.jpg?v=1721334804	1638	2048	
2x Sac Lunch	2x-sac-lunch	11	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/Lasclay-Lunchbag-4x5-06-2.jpg?v=1690310902	1638	2048	
2x Sac Lunch	2x-sac-lunch	12	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/Lasclay-Lunchbag-4x5-05-2.jpg?v=1690310902	1638	2048	
4x Besace	4x-besace	1	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/4_besaces_f577960c-55f1-4244-9972-c0397affb078.png?v=1722657427	1638	2048	Quatre besaces isothermes en coton, isolées à la fibre d'asclépiade, pour transporter vos collations au frais.
4x Besace	4x-besace	2	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/2a21c686-a982-45ed-9737-a914defcbc67_1.jpg?v=1722654483	768	1024	Quatre besaces isothermes en coton, isolées à la soie d'Amérique, pour garder vos boissons et collations au frais.
4x Besace	4x-besace	3	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/4.png?v=1782265390	1024	1536	Personne portant en bandoulière une besace isotherme jaune moutarde en toile de coton doublée de nylon, anses noires et étiquette Lasclay, isolée à la fibre d'asclépiade pour garder les boissons au frais.
4x Besace	4x-besace	4	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/3.png?v=1721397633	1024	1536	
4x Besace	4x-besace	5	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/2.png?v=1782265390	1024	1536	Homme marchant en rue porte à la main une besace isotherme noire en toile de coton doublée de nylon, anses et logo Lasclay, isolée à la soie d'asclépiade pour garder les boissons fraîches.
4x Besace	4x-besace	6	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/1.png?v=1721397633	1024	1536	
4x Sac Lunch	4x-sac-lunch	1	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/combo_4x_c5cec627-99c6-482d-b686-6390479471ba.png?v=1722652476	1638	2048	Quatre sacs à lunch isothermes en coton, isolés à la soie d'Amérique, pour garder les repas au frais.
4x Sac Lunch	4x-sac-lunch	2	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/LUNCHBOX-45FRONT_C_-BEIGE.png?v=1782265451	1638	2048	Sac à lunch isotherme beige Lasclay en toile de coton à doublure imperméable, rabat enroulable à boucle, isolant à la soie d'asclépiade qui garde le repas frais, sur fond blanc.
4x Sac Lunch	4x-sac-lunch	3	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/2023-07-Lasclay-Lunch-gif-ouverture.gif?v=1689885154	1024	720	
4x Sac Lunch	4x-sac-lunch	4	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/a8a2b95c-159c-4243-8836-5f35b6d3d73d.jpg?v=1722650710	702	768	Quatre sacs à lunch isothermes en coton, isolés à la soie d'asclépiade, pour garder les repas au frais.
4x Sac Lunch	4x-sac-lunch	5	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/Lasclay-Lunchbag-4x5-07-2_90e4a4c9-cd10-4632-9f95-7a67a0580440.jpg?v=1721399621	1638	2048	
4x Sac Lunch	4x-sac-lunch	6	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/2023-07-Lasclay-Lunch-4x5-360-2_711363eb-c6d5-4374-bbb3-b72f604a258c.gif?v=1770319942	819	1024	
4x Sac Lunch	4x-sac-lunch	7	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/LUNCHBOX-45FRONT_C_-PINK.png?v=1782265511	1638	2048	Sac à lunch isotherme rose Lasclay en toile de coton à doublure imperméable, rabat enroulable à boucle, isolant à la soie du Québec qui garde le repas frais, sur fond blanc.
4x Sac Lunch	4x-sac-lunch	8	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/Lasclay-Lunchbag-4x5-06-2.jpg?v=1690310902	1638	2048	
4x Sac Lunch	4x-sac-lunch	9	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/Lasclay-Lunchbag-4x5-05-2.jpg?v=1690310902	1638	2048	
4x Sac Lunch	4x-sac-lunch	10	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/Lasclay-Lunchbag-4x5-08-2_0def6195-c127-4f04-8d8e-9929492405fa.jpg?v=1721334804	1638	2048	
6 Illustrations Asclépiade et Monarques	illustrations-asclepiade-monarque	1	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/illustrations.png?v=1721333654	1024	1638	Six affiches Lasclay encadrées de bois clair illustrant l'asclépiade: gousses, feuilles, aigrette de soie d'Amérique et un papillon monarque, sur fond blanc
6 Illustrations Asclépiade et Monarques	illustrations-asclepiade-monarque	2	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/mockup_illus2.png?v=1721333680	2000	2408	Salon moderne avec canapé de cuir cognac et deux affiches Lasclay encadrées au mur illustrant l'asclépiade, une aigrette de soie et une feuille, en mise en situation
6 Illustrations Asclépiade et Monarques	illustrations-asclepiade-monarque	3	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/Lasclay-Monarch-Visual.png?v=1721333720	2000	1255	Affiche Lasclay illustrant un papillon monarque orange butinant des fleurs d'asclépiade dessinées en noir et blanc, posée sur un socle de bois près d'une plante verte
Asclépiade 01 - Illustration 8x10	asclepias-01-print-8x10	1	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/Lasclay-POD-8x10-01-frame.png?v=1782265451	1638	2048	Affiche d'art encadrée Lasclay représentant une gousse d'asclépiade peinte à l'encre brune, cadre de bois clair sur mur blanc.
Asclépiade 01 - Illustration 8x10	asclepias-01-print-8x10	2	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/Lasclay-POD-8x10-01-dimensions.png?v=1782265451	1638	2048	Illustration d'une gousse d'asclépiade peinte à l'encre brune, affiche d'art Lasclay au format 8 x 10 pouces avec ses dimensions indiquées.
Asclépiade 02 - Illustration 8x10	asclepias-02-print-8x10	1	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/Lasclay-POD-8x10-02-frame.png?v=1782265451	1638	2048	Affiche d'art encadrée Lasclay représentant une feuille d'asclépiade peinte à l'encre brune, cadre de bois clair sur mur blanc.
Asclépiade 02 - Illustration 8x10	asclepias-02-print-8x10	2	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/Lasclay-POD-8x10-02-dimensions.png?v=1782265451	1638	2048	Affiche d'art Lasclay d'une feuille d'asclépiade peinte à l'encre brune, format 8 x 10 pouces avec dimensions indiquées.
Asclépiade 03 - Illustration 8x10	asclepias-03-print-8x10	1	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/Lasclay-POD-8x10-03-frame.png?v=1782265451	1638	2048	Affiche d'art encadrée Lasclay représentant deux gousses d'asclépiade peintes à l'encre brune, cadre de bois clair sur mur blanc.
Asclépiade 03 - Illustration 8x10	asclepias-03-print-8x10	2	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/Lasclay-POD-8x10-03-dimensions.png?v=1782265451	1638	2048	Affiche d'art Lasclay de deux gousses d'asclépiade peintes à l'encre brune, format 8 x 10 pouces avec dimensions indiquées.
Asclépiade 04 - Illustration 8x10	asclepias-04-print-8x10	1	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/Lasclay-POD-8x10-04-frame.png?v=1782265451	1638	2048	Affiche d'art encadrée Lasclay représentant trois gousses d'asclépiade peintes à l'encre brune, cadre de bois clair sur mur blanc.
Asclépiade 04 - Illustration 8x10	asclepias-04-print-8x10	2	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/Lasclay-POD-8x10-04-dimensions.png?v=1782265450	1638	2048	Affiche d'art Lasclay de trois gousses d'asclépiade peintes à l'encre brune, format 8 x 10 pouces avec dimensions indiquées.
Asclépiade 05 - Illustration 8x10	asclepias-05-print-8x10	1	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/Lasclay-POD-8x10-05-frame.png?v=1782265450	1638	2048	Affiche d'art encadrée Lasclay représentant une touffe de soie d'asclépiade peinte à l'encre, cadre de bois clair sur mur blanc.
Asclépiade 05 - Illustration 8x10	asclepias-05-print-8x10	2	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/Lasclay-POD-8x10-05-dimensions.png?v=1782265450	1638	2048	Affiche d'art Lasclay d'une touffe de soie d'asclépiade peinte à l'encre, format 8 x 10 pouces avec dimensions indiquées.
Bague Aile de monarque - Vente finale	bague-aile-monarque	1	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/BagueAile2.jpg?v=1782265389	1000	1000	Bague aile de papillon monarque en argent posée sur fond blanc devant des fleurs de verge d'or jaunes, bijou inspiré du monarque de la marque québécoise Lasclay.
Bague Aile de monarque - Vente finale	bague-aile-monarque	2	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/BagueAile1.jpg?v=1782265389	1000	1000	Bague aile de papillon en argent portée à la main, motif inspiré du monarque, bijou de la marque québécoise Lasclay avec fleurs d'asclépiade en arrière-plan.
Bague Aile de monarque - Vente finale	bague-aile-monarque	3	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/BagueAile3.jpg?v=1782265389	1284	1284	Bague aile de papillon monarque en argent portée au doigt, motif ajouré d'aile, bijou délicat inspiré du monarque de la marque québécoise Lasclay.
Bague Aile de monarque - Vente finale	bague-aile-monarque	4	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/Tailles_de_bagues_9098182c-f5ee-46e1-93aa-d173645251b1.webp?v=1765922694	746	333	Guide des tailles de bagues: correspondances US et France avec diamètre en millimètres, de la taille 5 à 17
Bandeau	headband	1	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/Bandeau_sport_1.png?v=1782265389	720	900	Bandeau cache-oreilles de sport en polyester noir, large bande à couture droite et étiquette Lasclay cousue sur le côté, isolé à la soie d'asclépiade, chaud et léger pour la course.
Bandeau	headband	2	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/Bandeau_torsade_asclepiade.png?v=1782265389	640	800	Bandeau cache-oreilles torsadé noir en nylon et rayonne, nœud croisé sur le devant et étiquette Lasclay, isolé à la soie d'Amérique, chaud et stylisé pour l'hiver.
Bandeau	headband	3	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/Bandeaux-asclepiade-torsade-sport.png?v=1782265390	720	900	Deux bandeaux cache-oreilles noirs côte à côte, modèle sport en polyester à couture droite et modèle torsadé en nylon et rayonne à nœud, étiquette Lasclay, isolés à la soie d'asclépiade.
Bandeau	headband	4	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/IMG_1228-2.jpg?v=1782265390	819	1024	Femme en hiver portant un bandeau noir et un cache-cou gris foncé marbré Lasclay isolés à la soie d'asclépiade, lunettes écaille, dans un décor de forêt.
Bandeau	headband	5	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/IMG_1279.jpg?v=1782265390	819	1024	Femme souriante en hiver portant un bandeau cache-oreilles noir Lasclay isolé à la soie d'asclépiade, manteau matelassé kaki, dans un parc enneigé.
Bandeau	headband	6	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/bandeau-asclepiade-torsade-hiver.jpg?v=1782265390	1229	1536	Femme souriante en lunettes de soleil portant un bandeau cache-oreilles torsadé Lasclay en nylon et rayonne noir, garni de fibre d'asclépiade, étiquette sur le côté, dans un paysage hivernal enneigé.
Bandeau d'asclépiade torsadé extra-doux	bandeau-copy	1	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/Bandeaux_Viscose_Asclepiade_Couleurs.jpg?v=1782265333	2048	1536	Cinq bandeaux torsadés extra-doux en viscose de bambou alignés, noir, gris foncé, gris pâle, vert forêt et rouille, isolés à la soie d'asclépiade, légers et chauds pour l'hiver.
Bandeau d'asclépiade torsadé extra-doux	bandeau-copy	2	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/Bandeaux_Viscose_Asclepiade_Vert2_d1ce98cc-3ac6-41ae-aaca-37b251d4a26f.jpg?v=1782265333	2048	1536	Bandeau torsadé extra-doux en viscose de bambou vert forêt foncé, nœud souple sur le devant, isolé à la fibre d'asclépiade, léger et chaud pour les sorties d'hiver.
Bandeau d'asclépiade torsadé extra-doux	bandeau-copy	3	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/Bandeaux_Viscose_Asclepiade_Orange_3013c3ed-ac42-45a1-a2b1-6f08b62cb9e8.jpg?v=1782265333	2048	1536	Bandeau torsadé extra-doux en viscose de bambou orange rouille, nœud croisé sur le devant, isolé à la soie du Québec, doux et chaud pour l'hiver québécois.
Bandeau d'asclépiade torsadé extra-doux	bandeau-copy	4	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/Bandeaux_Viscose_Asclepiade_Noir_1735e125-4283-4c44-9f91-4dd75ab2fe0b.jpg?v=1782265333	2048	1536	Bandeau torsadé extra-doux en viscose de bambou noire, nœud croisé sur le devant, isolé à la soie d'asclépiade, léger et chaud pour la course hivernale.
Bandeau d'asclépiade torsadé extra-doux	bandeau-copy	5	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/Bandeaux_Viscose_Asclepiade_GrisFonce_94c39df8-6f13-43be-bcc2-e5003457f028.jpg?v=1782265333	2048	1536	Bandeau torsadé extra-doux en viscose de bambou gris foncé marbré, nœud croisé sur le devant, isolé à la soie d'asclépiade, léger et chaud pour la course hivernale.
Bandeau d'asclépiade torsadé extra-doux	bandeau-copy	6	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/bandeau_rouge_et_cache_cou.jpg?v=1782265333	1161	1548	Femme portant un bandeau cache-oreilles torsadé et un cache-cou Lasclay assortis en viscose de bambou rouge rouille garnis de soie d'Amérique, cheveux longs, dans un parc aux feuilles d'automne.
Bandeau d'asclépiade torsadé extra-doux	bandeau-copy	7	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/Bandeaux_Viscose_Asclepiade_GrisPale_a60f40d6-04ae-442b-ad91-00d84eb9212f.jpg?v=1782265333	2048	1536	Bandeau torsadé extra-doux en viscose de bambou gris pâle marbré, nœud croisé sur le devant, isolé à la soie d'asclépiade, léger et chaud pour le ski de fond.
Bandeau d'asclépiade torsadé extra-doux	bandeau-copy	8	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/Bandeaux_Foulard_Viscose_Asclepiade_Orange.jpg?v=1782265333	2048	1536	Bandeau torsadé et foulard assorti en viscose de bambou orange rouille, matelassage en feuilles et étiquette tissée Lasclay, isolés à la soie d'asclépiade, doux et chauds pour l'hiver.
Bandeau d'asclépiade torsadé extra-doux	bandeau-copy	9	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/Bandeaux_Cache-cou_Viscose_Asclepiade_Vert_ddac27e0-5e60-4bf4-b4ac-79b8cf433591.jpg?v=1782265333	2048	1536	Combo bandeau torsadé et cache-cou en viscose de bambou vert forêt, cache-cou matelassé de surpiqûres ondulées, isolé à la soie d'Amérique, doux et chaud pour l'hiver québécois.
Bandeau torsadé et foulard - Précommande novembre 2025	bandeau-torsade-et-foulard	1	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/Bandeaux_Foulard_Viscose_Asclepiade_Vert_51b0af41-d69a-4d65-ba92-204ce68d676d.jpg?v=1760454167	4000	3000	Ensemble bandeau torsadé et foulard vert en viscose de bambou, isolé à la soie du Québec, pour la chaleur sans le poids.
Bandeau torsadé et foulard - Précommande novembre 2025	bandeau-torsade-et-foulard	2	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/Bandeaux_Foulard_Viscose_Asclepiade_Orange_a95e0014-52bd-403c-b29c-63cafd613755.jpg?v=1760454167	4000	3000	Ensemble bandeau torsadé et foulard orange en viscose de bambou, isolé à la fibre d'asclépiade, pour rester au chaud tout l'hiver.
Bandeau torsadé et foulard - Précommande novembre 2025	bandeau-torsade-et-foulard	3	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/Bandeaux_Foulard_Viscose_Asclepiade_GrisFonce_b1aca151-f0eb-4d97-a888-f1d02d944ac3.jpg?v=1760454167	4000	3000	Ensemble bandeau torsadé et foulard gris foncé marbré en viscose de bambou, isolé à la soie du Québec, pour la chaleur sans le poids.
Bandeau torsadé et foulard - Précommande novembre 2025	bandeau-torsade-et-foulard	4	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/bandeau_foulard_rouge.jpg?v=1760537231	1350	1800	Ensemble bandeau torsadé et foulard rouge en viscose de bambou, isolé à la soie d'Amérique, pour la chaleur sans le poids.
Bandeau torsadé et foulard - Précommande novembre 2025	bandeau-torsade-et-foulard	5	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/Bandeaux_Foulard_Viscose_Asclepiade_GrisPale_f176e028-ff55-40db-9f50-6d78abcc3955.jpg?v=1760537231	4000	3000	Ensemble bandeau torsadé et foulard gris pâle marbré en viscose de bambou, isolé à la soie d'asclépiade, pour rester au chaud tout l'hiver.
Bandeau torsadé et foulard - Précommande novembre 2025	bandeau-torsade-et-foulard	6	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/Bandeaux_Foulard_Viscose_Asclepiade_Noir_c9f7fe0f-9229-4095-b2fa-2a2acfeca531.jpg?v=1760537231	4000	3000	Ensemble bandeau torsadé et foulard noir en viscose de bambou, isolé à la soie d'Amérique, pour la chaleur sans le poids.
Bandeau torsadé IMPARFAIT	bandeau-torsade-imparfait	1	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/Bandeau_torsade_asclepiade.png?v=1782265389	640	800	Bandeau cache-oreilles torsadé noir en nylon et rayonne, nœud croisé sur le devant et étiquette Lasclay, isolé à la soie d'Amérique, chaud et stylisé pour l'hiver.
Bandeau torsadé IMPARFAIT	bandeau-torsade-imparfait	2	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/Bandeau_sport_1.png?v=1782265389	720	900	Bandeau cache-oreilles de sport en polyester noir, large bande à couture droite et étiquette Lasclay cousue sur le côté, isolé à la soie d'asclépiade, chaud et léger pour la course.
Bandeau torsadé IMPARFAIT	bandeau-torsade-imparfait	3	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/IMG_1745_adfff4ac-7c9c-41b1-8cd6-ab25f488360e.jpg?v=1762532928	1914	2496	Bandeau torsadé isolé à la fibre d'asclépiade, pour garder les oreilles au chaud par temps froid.
Bandeau torsadé IMPARFAIT	bandeau-torsade-imparfait	4	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/bandeau-asclepiade-torsade-hiver.png?v=1759434243	350	438	Femme portant un bandeau torsadé noir Lasclay isolé à la soie d'asclépiade, accessoire chaud et stylé pour l'hiver.
Besace isotherme en asclépiade	besace	1	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/LASCLAY-TOTEBAG-BLACK-FRONT_DETAIL.png?v=1782265390	1638	2048	Besace isotherme en toile de coton noire doublée de nylon présentée avec une bouteille de vin, bandoulière ajustable et écusson Lasclay brodé, doublure isolée à la soie d'Amérique qui garde les bouteilles au frais.
Besace isotherme en asclépiade	besace	2	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/4.png?v=1782265390	1024	1536	Personne portant en bandoulière une besace isotherme jaune moutarde en toile de coton doublée de nylon, anses noires et étiquette Lasclay, isolée à la fibre d'asclépiade pour garder les boissons au frais.
Besace isotherme en asclépiade	besace	3	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/LASCLAY-TOTEBAG-BEIGE-FRONT_ce374074-b2c3-49e3-89e1-95a34e6072a0.png?v=1782265390	1638	2048	Grand sac fourre-tout en toile beige caramel, anses noires et bandoulière ajustable amovible, écusson Lasclay cousu, doublure isolante à la soie d'asclépiade, sac de plage et du quotidien.
Besace isotherme en asclépiade	besace	4	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/LASCLAY-TOTEBAG-RED-FRONT_e43c053e-a5ae-4da4-b921-3a4ccd2bde50.png?v=1782265390	1638	2048	Besace isotherme en toile de coton rouge framboise doublée de nylon, anses noires et bandoulière matelassée ajustable, écusson Lasclay cousu, garnie d'isolant à la soie d'Amérique, spacieuse pour la plage comme pour tous les jours.
Besace isotherme en asclépiade	besace	5	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/LASCLAY_-_TOTE_BAG_-_GREEN_-_FRONT_38cfd782-0179-4d83-87c7-db9891e55447.png?v=1782265390	1638	2048	Besace isotherme en toile de coton vert kaki doublée de nylon, longues anses noires et bandoulière matelassée ajustable, écusson Lasclay cousu, isolant à la soie du Québec, parfaite pour la plage et les sorties de tous les jours.
Besace isotherme en asclépiade	besace	6	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/2.png?v=1782265390	1024	1536	Homme marchant en rue porte à la main une besace isotherme noire en toile de coton doublée de nylon, anses et logo Lasclay, isolée à la soie d'asclépiade pour garder les boissons fraîches.
Besace isotherme en asclépiade	besace	7	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/LASCLAY-TOTEBAG-YELLOW-FRONT_1de6dc0b-0d58-4c77-953e-a3e3992b399b.png?v=1782265390	1638	2048	Besace isotherme en toile de coton jaune moutarde doublée de nylon, anses noires et bandoulière matelassée ajustable, écusson Lasclay cousu, doublure isolante à la fibre d'asclépiade, vaste et solide pour la plage et le quotidien.
Besace isotherme en asclépiade	besace	8	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/LASCLAY-TOTEBAG-PINK-FRONT_00367379-10b6-4c4d-871a-a4712a6a2ab6.png?v=1782265392	1638	2048	Besace isotherme en toile de coton rose poudré doublée de nylon, longues anses noires et bandoulière matelassée ajustable, écusson Lasclay cousu, doublure isolée à la soie du Québec, parfaite pour la plage et le quotidien.
Besace isotherme en asclépiade	besace	9	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/LASCLAY-TOTEBAG-BLACK-FRONT.png?v=1782265390	1638	2048	Besace isotherme en toile de coton noire doublée de nylon, anses et bandoulière ajustable amovible, écusson Lasclay cousu, doublure isolée à la soie d'asclépiade, sac de plage et de tous les jours.
Besace isotherme en asclépiade IMPARFAIT	besace-isotherme-en-asclepiade-imparfait	1	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/LASCLAY-TOTEBAG-BLACK-FRONT_DETAIL.png?v=1782265390	1638	2048	Besace isotherme en toile de coton noire doublée de nylon présentée avec une bouteille de vin, bandoulière ajustable et écusson Lasclay brodé, doublure isolée à la soie d'Amérique qui garde les bouteilles au frais.
Besace isotherme en asclépiade IMPARFAIT	besace-isotherme-en-asclepiade-imparfait	2	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/4.png?v=1782265390	1024	1536	Personne portant en bandoulière une besace isotherme jaune moutarde en toile de coton doublée de nylon, anses noires et étiquette Lasclay, isolée à la fibre d'asclépiade pour garder les boissons au frais.
Besace isotherme en asclépiade IMPARFAIT	besace-isotherme-en-asclepiade-imparfait	3	https://cdn.shopify.com/s/files/1/0475/8932/7010/files/LASCLAY-TOTEBAG-BEIGE-FRONT_ce374074-b2c3-49e3-89e1-95a34e6072a0.png?v=1782265390	1638	2048	Grand sac fourre-tout en toile beige caramel, anses noires et bandoulière ajustable amovible, écusson Lasclay cousu, doublure isolante à la soie d'asclépiade, sac de plage et du quotidien.
