id,date_premier_courriel,mois,theme,sous_theme,bogue,langue,pays,no_commande,date_commande,delai_jours,etiquettes,sujet
c3c3f3fa-f28e-4853-b4ff-c4c67b3f648f,2026-02-20,2026-02,retour_echange_remboursement,,,fr,,,,,Support/Draft AI Support|Support/↩️ RETOURS - ECHANGES,Re: Mitaines de four
9c1c70b4-6dd1-4a9a-b3dd-66cb6eaf73ed,2026-07-15,2026-07,reponse_marketing,,,fr,,,,,À snooze|Support/Draft AI Support,Bonjour Gabriel
e4542820-b129-4903-af59-91bae2e9aa1c,2025-12-20,2025-12,retour_echange_remboursement,,,fr,CA,L-40120,2025-10-11,70,Support/Draft AI Support|Support/📨Expéditions prioritaires|Support/↩️ RETOURS - ECHANGES,Re: Commande L-40120 confirmée
8521a83e-5fa4-4385-805f-a78b9a551d67,2026-05-30,2026-05,douane_international,,,fr,,,,,,Résumé de l'activité du compte
e2886165-3694-482a-a9c7-f22671720cc1,2026-07-22,2026-07,autre,,,en,,,,,,"Welcome to Miro, operations! 👋"
ae97e09b-9f9a-48a7-819f-a0129abd9d90,2026-07-22,2026-07,question_pre_achat,,,en,,,,,,You've set a new password
fd7f1523-4b3f-4f61-b8b5-7827c431193a,2026-07-22,2026-07,autre,,,en,,,,,,Sign in to Miro
c6ed70eb-4566-4136-8ce6-ba7e117347f2,2026-07-22,2026-07,autre,,,en,,,,,,Edit on the Miro board: Charte produits Lasclay
96827347-b8bc-4486-bd23-2baf6591c83b,2026-07-22,2026-07,autre,,,en,,,,,,Sign in to Miro
9fd0a4ce-567a-413a-beb7-562e4b99b23e,2026-02-21,2026-02,retour_echange_remboursement,,,fr,CA,L-47242,2026-02-20,1,Draft AI RÉVISÉ PAR HUMAIN|Support/↩️ RETOURS - ECHANGES|Support/⚡ Ventes - info pré-achat,Re: Commande L-47242 confirmée
6ad88b68-5356-4c50-91b5-1bc43c02c574,2026-02-02,2026-02,retour_echange_remboursement,,,en,,,,,Opérations/Draft créé,Re: Re: Milkweed products end of season sale
8a1b0c4d-df1c-421a-b0a2-424e1d5a5ae0,2026-05-31,2026-05,retour_echange_remboursement,,,fr,,,,,À snooze|Draft AI RÉVISÉ PAR HUMAIN|Support/↩️ RETOURS - ECHANGES,Re: 🚨 Il reste moins de 2 jours à la prévente 👀
08af44bf-05b2-49a9-86b0-d2bdcc86542f,2025-11-15,2025-11,retour_echange_remboursement,,,fr,CA,L-40867,2025-11-04,11,Support/Draft AI Support|Support/↩️ RETOURS - ECHANGES|Support/review à traiter,Re: Une commande L-40867 a été livrée
9fa76f73-747d-416d-b499-8b179eeaa070,2025-12-19,2025-12,retour_echange_remboursement,,,fr,,,,,À snooze|Draft AI RÉVISÉ PAR HUMAIN|Support/Draft AI Support|Support/↩️ RETOURS - ECHANGES,Re: Les manteaux sont à Québec!
4704a936-177c-47a9-9fd1-6702b3d24dfc,2026-05-26,2026-05,modification_annulation_commande,,,fr,CA,L-50270,2026-05-30,,À snooze|Support/Draft AI Support|Support/Mise à jour commande,Re: Commande no L-50270
57d172fb-de95-4944-b7c5-5643bf53ff9f,2025-12-14,2025-12,retour_echange_remboursement,,,fr,,,,,Draft AI RÉVISÉ PAR HUMAIN|Support/Draft AI Support|Support/📨Expéditions prioritaires|Support/↩️ RETOURS - ECHANGES,Re: Suivi de commande - on continue de travailler fort
130e5dd6-ad84-4dc5-acf0-ace27825a616,2026-02-01,2026-02,modification_annulation_commande,,,en,,,,,Support/Draft AI Support|Support/Mise à jour commande,Re: 🚨 Annonce majeure 👀
fb071dd9-abf6-4add-bd99-17681cf61fb7,2026-03-02,2026-03,retour_echange_remboursement,,,fr,CA,L-43468,2025-12-09,83,Support/Draft AI Support|Support/Mise à jour commande|Support/↩️ RETOURS - ECHANGES|Support/review à traiter,Re: 🚨 Prévente Printanière 2026 - énorme succès 👀
cd95f31b-a46d-4451-888b-e7e74728c52e,2026-01-13,2026-01,retour_echange_remboursement,,,fr,CA,L-42230,2025-11-29,45,Support/Draft AI Support|Support/Exemple service client|Support/Mise à jour commande|Support/↩️ RETOURS - ECHANGES,Facture L-42230
079a4198-513e-417b-8b0b-fb1044222ef2,2026-01-20,2026-01,retour_echange_remboursement,,,en,CA,L-45509,2026-01-13,7,Support/Mise à jour commande|Support/↩️ RETOURS - ECHANGES,Re: Order L-45509
4243fe68-3ddc-4cb0-8dfc-3808ef8af65a,2025-10-25,2025-10,retour_echange_remboursement,,,en,US,L-38778,2025-09-05,50,Support/Mise à jour commande|Support/↩️ RETOURS - ECHANGES|Support/Réponses / Responses/EN/🚚Tracking / shipping/USA graines shipping,Re: Please refund me
1cc2d89f-6fd7-40c7-b9be-c0996eaafdfd,2025-12-31,2025-12,question_pre_achat,,,fr,CA,L-45136,2025-12-31,0,Support/Mise à jour commande|Support/⚡ Ventes - info pré-achat,Re: Une commande L-45136 est en transit
6e2f41b3-190e-472e-ac76-278f782626b2,2025-11-12,2025-11,question_pre_achat,,,fr,,,,,Support/Code Promo|Support/📨Expéditions prioritaires|Support/Mise à jour commande|Support/⚡ Ventes - info pré-achat,Re: Erratum (vente de fin de saison Lasclay)
ef048a62-4098-45dd-9dfc-c7b40d24a9fb,2026-06-12,2026-06,retour_echange_remboursement,,,fr,,,,,Draft AI RÉVISÉ PAR HUMAIN|Opérations/🌱 Problème germination bombes ou graines ❗|Support/↩️ RETOURS - ECHANGES,Re: Boules de semences
379bec71-99d6-4cf6-a796-7a974efcf41b,2026-01-04,2026-01,suivi_livraison,,,fr,,,,,Support/Carte Cadeau|Support/📨Expéditions prioritaires,Re: Carte cadeau
a92fa5b6-c891-4045-bb49-8cd5be66dddc,2025-09-06,2025-09,retour_echange_remboursement,,,en,,,,,À snooze|Support/Mise à jour commande|Opérations/🌱 Problème germination bombes ou graines ❗|Support/↩️ RETOURS - ECHANGES,Re: Milkweed seeds
a901b973-837c-42dd-8e07-f64803278c81,2026-05-24,2026-05,retour_echange_remboursement,,,fr,,,,,À snooze|Draft AI RÉVISÉ PAR HUMAIN|Opérations/🌱 Problème germination bombes ou graines ❗|Support/↩️ RETOURS - ECHANGES,Re: UrgentFwd: Prévente automnale 2025 - Produits d'asclépiade
25d8c50d-8e4a-4b17-9a86-f6c1a11f82c8,2025-11-22,2025-11,retour_echange_remboursement,,,en,US,L-40992,2025-11-08,14,À snooze|Draft AI RÉVISÉ PAR HUMAIN|Support/↩️ RETOURS - ECHANGES|Support/Réponses / Responses/EN/🚚Tracking / shipping/USA graines shipping,Re: L 40992
f33acb0b-f73d-4a3c-a555-e6e3a40eda85,2025-10-23,2025-10,retour_echange_remboursement,,,en,,,,,Support/↩️ RETOURS - ECHANGES|Support/USA|Support/Réponses / Responses/EN/🚚Tracking / shipping/USA graines shipping,Re: Milkweed planting campaign to save monarchs 🦋
ab8ba319-f7c6-4248-b652-67ffed22b517,2026-01-01,2026-01,suivi_livraison,,,fr,,,,,Support/Carte Cadeau|Draft AI RÉVISÉ PAR HUMAIN|Support/📨Expéditions prioritaires,Re: Comment obtenir le certificat de 25$
aeed87af-24b3-4831-81d6-64968942d109,2025-08-16,2025-08,retour_echange_remboursement,,,fr,,,,,Opérations/🌱 Problème germination bombes ou graines ❗|Support/↩️ RETOURS - ECHANGES,Re: Re : Re: Mauvaise expérience...
407ffe35-159f-47e6-bc95-6e0d8125aa3f,2026-01-25,2026-01,retour_echange_remboursement,,promo,fr,CA,L-45805,2026-01-24,1,Support/Code Promo,Re: Rabais de 10% non appliqué sur ma commande
e8341e17-6bdf-48a6-9db1-7626346b1252,2026-02-05,2026-02,question_pre_achat,delai_expedition|prix,promo,fr,,,,,Support/Code Promo|Draft AI RÉVISÉ PAR HUMAIN|Support/⚡ Ventes - info pré-achat,Re: 🚨 Prévente dans 2 heures 👀
ccf43fcf-e8bd-4642-aa4d-fbfddd461e38,2026-03-23,2026-03,question_pre_achat,origine_fabrication,,fr,,,,,Opérations/🌱 Problème germination bombes ou graines ❗|Support/⚡ Ventes - info pré-achat,Re: Garantie de germes
bc294a59-6928-4d7c-80fc-9abb2231912b,2026-03-05,2026-03,retour_echange_remboursement,,,fr,,,,,Support/↩️ RETOURS - ECHANGES,Re: Remboursement
75fac233-21ea-4b5a-a103-be7b4af1fcd7,2026-01-09,2026-01,retour_echange_remboursement,,,fr,CA,L-45351,2026-01-06,3,Support/↩️ RETOURS - ECHANGES,Re: commande
3daa5f21-98ed-4949-92d3-55cfb71c3da4,2026-01-24,2026-01,retour_echange_remboursement,,,fr,CA,L-45843,2026-01-24,0,,Re: Notification de remboursement
27c4127a-c40d-4b9c-9494-b49224414d40,2026-01-30,2026-01,retour_echange_remboursement,,,fr,CA,L-43118,2025-12-07,54,Support/↩️ RETOURS - ECHANGES,Re: URGENT: Une commande L-43118 a été livrée
194fa68f-1547-45fe-b230-e55561bd12b2,2026-01-02,2026-01,retour_echange_remboursement,,,fr,,,,,Support/↩️ RETOURS - ECHANGES,Re: Mitaines retournées.
449995c8-1bbf-419b-a1e1-44cef15e0f9e,2026-02-09,2026-02,wholesale_b2b,,,en,,,,,Opérations/Facture,Fwd: RE: [EXTERNAL] Commande
16318e18-b7aa-4ea0-a2f3-ebf471f8637e,2026-01-26,2026-01,question_pre_achat,points_de_vente,,fr,,,,,Support/⚡ Ventes - info pré-achat,Re:
c2260f70-ea59-46c1-912f-1bc0ee39ea10,2026-01-24,2026-01,modification_annulation_commande,,,fr,CA,L-45518,2026-01-13,11,Support/Mise à jour commande,Re: Une commande L-45518 est en transit
e8cfac7f-b90e-4399-87b6-ed3693e78b69,2026-02-21,2026-02,question_pre_achat,taille,,fr,,,,,Support/⚡ Ventes - info pré-achat,Re: Mitaine/ grandeur
2e6b15d1-8faa-4942-a2e1-700f022e36dd,2025-11-06,2025-11,modification_annulation_commande,,,fr,,L-39174,2025-09-13,54,Support/Mise à jour commande,Ma commande
44bf7ab2-e392-4638-8c02-93a2c5bf4fbc,2025-12-03,2025-12,retour_echange_remboursement,,,fr,CA,L-36112,2025-05-31,186,Support/↩️ RETOURS - ECHANGES,Re: Une commande L-36112 a été livrée
54c8a194-0284-4cc8-a61b-d52e4f70d123,2025-12-15,2025-12,retour_echange_remboursement,,,fr,,,,,Support/↩️ RETOURS - ECHANGES,Re: 2 mois plus tard!
3522eea3-c7a7-4cce-abfd-09eb4874756a,2026-01-15,2026-01,retour_echange_remboursement,,,fr,CA,L-45062,2025-12-29,17,,Re: COMMANDE L-45062
7afd2af4-e7a4-457d-873f-4c3c96f88a47,2026-02-13,2026-02,retour_echange_remboursement,,,fr,,,,,,Re: Achat de mitaines
933e5b0e-abfc-4e36-b682-c7112a6ec3f7,2025-11-29,2025-11,retour_echange_remboursement,,,fr,CA,L-41575,2025-11-19,10,Support/↩️ RETOURS - ECHANGES,Re: Bonjour
2f63ac8e-dc45-4ee0-9f15-060755ffc640,2026-02-10,2026-02,suivi_livraison,,,fr,,,,,,Re: Commande impossible?
38956099-d8ff-4894-9886-33719393e76f,2026-01-13,2026-01,retour_echange_remboursement,,,fr,CA,L-45171,2026-01-01,12,Support/↩️ RETOURS - ECHANGES,Re: Colis reçu mais em double?
143c9011-87f3-48f1-a672-bd4cd87f5dde,2025-12-02,2025-12,retour_echange_remboursement,,,fr,CA,L-41905,2025-11-24,8,Support/R&D/Mitaine|Support/↩️ RETOURS - ECHANGES,Re: commande L-41905 - commentaires
01bcc653-3139-4ff4-9b65-9133674d16dc,2026-01-24,2026-01,wholesale_b2b,,,fr,,,,,Support/Code Promo,Re: Vente de fin de saison 2026
cd52c3d0-f764-4317-ba37-86c730df5adc,2025-09-13,2025-09,retour_echange_remboursement,,,fr,CA,L-38222,2025-08-02,42,Support/R&D/Glacière/glacière brisée|Support/Réponses / Responses/FR/🤔Problèmes et erreurs/Produit défectueux|Support/↩️ RETOURS - ECHANGES,Re: Lasclay Commande L-38222
107883bd-d579-4fdb-be0d-0a147cf4ad87,2025-08-15,2025-08,retour_echange_remboursement,,,fr,CA,L-38123,2025-07-25,21,Support/Cas à voir|Support/Réponses / Responses/FR/🤔Problèmes et erreurs/Produit défectueux|Support/↩️ RETOURS - ECHANGES,Re: Défectuosité concernant vos mitaines de cuisine commande no. L-38123
30a5db31-6245-4ab4-ad85-433226c711a4,2026-01-11,2026-01,retour_echange_remboursement,,,fr,CA,L-41964,2025-11-25,47,Support/↩️ RETOURS - ECHANGES,Re: Commande L-41964 confirmée
492d4c74-e9f9-4342-b7da-6aa38084d94f,2026-01-21,2026-01,suivi_livraison,,,fr,CA,L-45426,2026-01-09,12,Support/📨Expéditions prioritaires,Re: ma commande L-45426 est problématique
c46dc19a-ae25-4725-8bbf-a68f9cd77702,2026-01-25,2026-01,suivi_livraison,,,fr,CA,L-45794,2026-01-24,1,Support/Code Promo,Re: Commande L-45794 confirmée
b90247cd-b6f3-4121-8c93-9f79d1c7ba93,2026-01-24,2026-01,autre,,,fr,,,,,Support/Code Promo,Re: Vente de fin de saison 2026
ab521231-ee73-4e41-b591-a2e6b5043d4e,2026-01-25,2026-01,suivi_livraison,,,en,,,,,Support/Code Promo,Re: end of season - bug with the discounts
b01f6f2b-7fbe-4f3d-a813-c0867ea11441,2026-01-25,2026-01,suivi_livraison,,,fr,,,,,Support/Code Promo|Support/RÉPONSES PRIORITAIRES,Re: Livraison
82a5ab4e-6185-4212-b1b5-24201603c4ad,2026-01-26,2026-01,modification_annulation_commande,,,fr,CA,L-46003,2026-01-26,0,Support/Code Promo,Modification de commande L-46003
1005226e-2b1b-4c59-88fa-2ec9bf219af4,2026-01-15,2026-01,probleme_produit_garantie,,,fr,CA,L-44384,2025-12-17,29,Support/R&D/Glacière|Support/R&D,Re: Contrôle Qualité
79879361-c970-4514-89f5-933d18bca3eb,2026-01-04,2026-01,retour_echange_remboursement,,,fr,CA,L-45263,2026-01-04,0,Support/↩️ RETOURS - ECHANGES,Re: Commande L-45263 confirmée
35f77c0a-1737-47ba-a50d-111bcd65702c,2026-01-01,2026-01,retour_echange_remboursement,,,fr,,,,,Support/↩️ RETOURS - ECHANGES,Re: Commande reçu hier
e9a3d741-4552-4c19-acef-f8499ae01759,2025-10-08,2025-10,question_pre_achat,,,en,,,,,Support/🚚Suivi d'expédition/Chit Chats|Support/🚚Suivi d'expédition/Problème de livraison|Support/⚡ Ventes - info pré-achat,Re: Ear band
818dd8e1-8ae5-4930-9308-945a4df04fc5,2025-12-03,2025-12,retour_echange_remboursement,,,en,CA,L-40910,2025-11-05,28,Support/↩️ RETOURS - ECHANGES,Re: Return and Refund for L-40910
ccdca45d-12db-4d21-aa0d-afc343a4edea,2025-12-16,2025-12,retour_echange_remboursement,,,fr,,,,,Support/↩️ RETOURS - ECHANGES,Re: Retour.
bdd34a26-fc27-49b2-8129-6830a6cfff3f,2025-11-22,2025-11,retour_echange_remboursement,,,fr,CA,L-45587,2026-01-16,,Support/Mise à jour commande|Support/↩️ RETOURS - ECHANGES,Rép. : Une commande L-45587 a été livrée
68aa1445-5d29-41ca-8eb1-3af2b372cfb6,2025-12-10,2025-12,suivi_livraison,,,fr,CA,L-40401,2025-10-23,48,,Re: Une commande L-40401 est en cours de livraison
dbcbea7f-8ded-43ab-81b2-606bfd6b0c4b,2026-01-19,2026-01,suivi_livraison,,,fr,,L-45087,2025-12-29,21,,Re: Vous pouvez retirer le colis de la commande L-45087
9cbd8626-1bca-4a64-a05e-30310fd7369c,2025-11-22,2025-11,modification_annulation_commande,,,fr,CA,L-41302,2025-11-14,8,Support/Mise à jour commande,RE: Commande L-41302 confirmée
683b4436-687f-4344-99a0-ed4cc429e3e7,2025-11-18,2025-11,autre,,,fr,,,,,,Re: Attente de commande
25547fa4-9a18-4618-b766-4856f5a531a7,2025-11-29,2025-11,retour_echange_remboursement,,,fr,,,,,Support/Mise à jour commande|Support/↩️ RETOURS - ECHANGES,Re: Panier d'achat toujours ouvert. Des questions? 😊
c139d909-718d-4593-b081-7242ebde9393,2025-10-03,2025-10,autre,,,fr,,,,,Support/Réponses / Responses/FR/🌱Botanique,Message from Lasclay
2c1c7a25-2bc2-4d3f-b5ee-64621ea9ad5f,2025-08-30,2025-08,probleme_produit_garantie,,,en,,,,,Opérations/🌱 Problème germination bombes ou graines ❗,Re: Fall 2025 Milkweed Products Presale
4778c4e7-b9b1-46ad-9916-789a25cde56e,2025-08-31,2025-08,probleme_produit_garantie,,,fr,,,,,Support/R&D/Glacière/glacière brisée|Support/Réponses / Responses/FR/🤔Problèmes et erreurs/Produit défectueux,Re: TR : Glacière 30L - Lasclay
5c783d7e-6ed1-4bd7-9e0e-b76b283a9e2a,2025-09-15,2025-09,probleme_produit_garantie,,,fr,,,,,Support/Réponses / Responses/FR/🤔Problèmes et erreurs|Support/Réponses / Responses/FR/🧺Usage et entretien,Re: Porte-gobelets qui suintent
a10cfd53-e2db-4fc9-8761-e6c23ccc472b,2025-09-13,2025-09,probleme_produit_garantie,,,en,,,,,Opérations/🌱 Problème germination bombes ou graines ❗,Re: Milkweed products - Fall Launch 2025
b13e1226-edf9-4ce4-a32e-3a6804e2b664,2025-09-07,2025-09,probleme_produit_garantie,,,en,,,,,Opérations/🌱 Problème germination bombes ou graines ❗,Re: Fall 2025 Milkweed Products Presale
f345f110-4724-4872-a439-90a8de975e98,2025-08-30,2025-08,probleme_produit_garantie,,,en,US,L-36963,2025-06-17,74,Opérations/🌱 Problème germination bombes ou graines ❗,Re: Fall 2025 Milkweed Products Presale
24c1a574-a9b8-4616-9b13-17835c380783,2025-09-07,2025-09,probleme_produit_garantie,,,fr,,,,,Opérations/🌱 Problème germination bombes ou graines ❗,Re: Prévente automnale 2025 - Produits d'asclépiade
24ceee28-8bcc-441a-bbbe-e41221cb67b8,2025-08-30,2025-08,probleme_produit_garantie,,,en,,,,,Support/Réponses / Responses/FR/🌱Botanique/Guide et suivi de plantation|Opérations/🌱 Problème germination bombes ou graines ❗,Re: Fall 2025 Milkweed Products Presale
38489565-1cbe-4c2b-a9b3-ab7ecb672945,2025-09-18,2025-09,suivi_livraison,,,en,US,L-39686,2025-09-18,0,Support/Suivi de commande|Support/Réponses / Responses/EN/🚚Tracking / shipping/USA graines shipping,FW: Order L-39686 confirmed
5f103dd7-10f7-40d2-9a6e-aa716835d529,2025-09-06,2025-09,probleme_produit_garantie,,,en,US,L-37024,2025-06-18,80,Opérations/🌱 Problème germination bombes ou graines ❗,Issue with Order L-37024
615280bf-c034-4e40-ab64-c5de4fc1738d,2025-08-30,2025-08,probleme_produit_garantie,,,en,,,,,Opérations/🌱 Problème germination bombes ou graines ❗,Re: Milkweed products - Fall Launch 2025
982f642b-c060-4bb4-bd62-516177c5e97a,2025-08-30,2025-08,probleme_produit_garantie,,,en,,,,,Opérations/🌱 Problème germination bombes ou graines ❗,Milkweed bombs
fc163a06-dc28-4eda-a51d-1aa840a829fe,2025-09-06,2025-09,probleme_produit_garantie,,,en,,,,,Support/Réponses / Responses/FR/🌱Botanique/Guide et suivi de plantation|Opérations/🌱 Problème germination bombes ou graines ❗,Re: Fall 2025 Milkweed Products Presale
2c21f09f-e08b-41ff-84b3-d330183649b0,2025-10-01,2025-10,suivi_livraison,,,en,US,L-39295,2025-09-13,18,Support/🚚Suivi d'expédition/Chit Chats|Support/🚚Suivi d'expédition/Problème de livraison,Status Order L-39295
8419832b-1c2b-49f0-ada8-c9587101716c,2025-09-06,2025-09,probleme_produit_garantie,,,en,,,,,Opérations/🌱 Problème germination bombes ou graines ❗,Re: Fall 2025 Milkweed Products Presale
852f787a-dfba-4bc5-8c27-248d2081957b,2025-09-06,2025-09,probleme_produit_garantie,,,fr,,,,,Support/Réponses / Responses/FR/🤔Problèmes et erreurs/Produit défectueux,Fwd: 6 mois pantoufles
cd6f86a1-9d3a-43c7-9fb3-4eac7be96093,2025-08-30,2025-08,probleme_produit_garantie,,,en,,,,,Opérations/🌱 Problème germination bombes ou graines ❗,Re: Fall 2025 Milkweed Products Presale
e09288a3-cae8-47a9-9fce-ac018876be5a,2025-09-06,2025-09,probleme_produit_garantie,,,en,,,,,Opérations/🌱 Problème germination bombes ou graines ❗,Re: Fall 2025 Milkweed Products Presale
bd6ffc25-2fb0-4ce1-a7ea-d8409cf33c64,2025-10-01,2025-10,suivi_livraison,,,en,US,L-39428,2025-09-13,18,Support/🚚Suivi d'expédition/Chit Chats|Support/🚚Suivi d'expédition/Problème de livraison,My order hasn’t arrived
1badb20b-ed09-4555-bd05-f2d087f5051d,2025-09-06,2025-09,probleme_produit_garantie,,,en,,,,,Opérations/🌱 Problème germination bombes ou graines ❗,Re: Fall 2025 Milkweed Products Presale
2a6152fc-0637-4ac9-9726-dd2cbac33312,2025-08-03,2025-08,probleme_produit_garantie,,,fr,,L-34659,2025-05-09,86,Opérations/🌱 Problème germination bombes ou graines ❗,Re: Suivi de la commande L-34659
2f1f1208-3fba-4e19-a855-d1e0cda6d7a9,2025-09-06,2025-09,probleme_produit_garantie,,,en,,,,,Opérations/🌱 Problème germination bombes ou graines ❗,Re: Fall 2025 Milkweed Products Presale
8531a397-aa5c-4568-8066-ab000af90714,2025-08-26,2025-08,probleme_produit_garantie,,,en,,,,,Opérations/🌱 Problème germination bombes ou graines ❗,Re: Failed seed bombs
bef788d6-dfa7-458f-94a2-33f865512e47,2025-08-30,2025-08,probleme_produit_garantie,,,en,,,,,Opérations/🌱 Problème germination bombes ou graines ❗,Re: Fall 2025 Milkweed Products Presale
e451884d-e8d2-40ed-b583-12b4f6b5f4df,2025-08-14,2025-08,modification_annulation_commande,,,fr,,,,,Support/Mise à jour commande|Support/Suivi de commande,Re: Suivi de ta commande
f7603d8c-b13f-4aba-bd86-8bde55191de7,2025-08-25,2025-08,probleme_produit_garantie,,,fr,,,,,Support/Réponses / Responses/FR/🤔Problèmes et erreurs/Mauvais item reçu|Support/Réponses / Responses/FR/🤔Problèmes et erreurs,Erreur d’ expédition de semelles commande 38312
114e95ea-6194-4ad3-8a13-ca0f3b63e455,2025-09-24,2025-09,suivi_livraison,,,en,,,,,Support/🚚Suivi d'expédition/Chit Chats|Support/🚚Suivi d'expédition/Problème de livraison,
41927094-e333-40af-b83b-10b4001ce0df,2025-09-06,2025-09,probleme_produit_garantie,,,en,,,,,Opérations/🌱 Problème germination bombes ou graines ❗,Re: Fall 2025 Milkweed Products Presale
65971fde-94e0-4f27-875a-d058a19cc1bc,2025-09-11,2025-09,modification_annulation_commande,,,en,,,,,Support/Suivi de commande/Commande introuvable|Support/Suivi de commande,Re: Missing seeds
829cd6b6-c485-4a60-ac2b-7acee5b9f281,2025-09-06,2025-09,probleme_produit_garantie,,,en,,,,,Opérations/🌱 Problème germination bombes ou graines ❗,Re: Fall 2025 Milkweed Products Presale
8db7b2a2-0794-46b2-a5ae-a747415b261d,2025-09-06,2025-09,probleme_produit_garantie,,,en,,,,,Opérations/🌱 Problème germination bombes ou graines ❗,Re: Fall 2025 Milkweed Products Presale
8f2d65d9-633d-46f4-83ea-bc3754c96430,2025-09-20,2025-09,autre,,,fr,,,,,Support/Réponses / Responses/FR/🧺Usage et entretien,Message from Anne LẼpine
bc598ed9-20bb-47e4-bfa8-74477f0fa218,2025-08-30,2025-08,probleme_produit_garantie,,,en,,,,,Opérations/🌱 Problème germination bombes ou graines ❗,Re: Fall 2025 Milkweed Products Presale
5e894c7a-4e2a-4315-9bce-29dbb47da908,2025-10-04,2025-10,suivi_livraison,,,en,US,L-38689,2025-09-03,31,Support/🚚Suivi d'expédition/Chit Chats|Support/🚚Suivi d'expédition/Problème de livraison,Re: A shipment from order L-38689 is on the way
7796c4f5-960b-4cbf-a8aa-33574feafbab,2025-09-13,2025-09,probleme_produit_garantie,,,en,US,L-37275,2025-06-24,81,Opérations/🌱 Problème germination bombes ou graines ❗,Order L-37275
